,review,true_strong,true_weak,true_other_strong,true_other_weak,true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_other_strong_alt,abs_other_weak_alt,abs_true_strong_weak_alt,instruction,label,formatted_output
23,"Salon Salon is housed in the original train depot building which was built in 1907. I believe it was restored in 1941 to Spanish Colonial style. It is also part of the National Register. So entering it you can feel the old embracing the newness of the interior design that now occupies the space. I've been following Jessica for the last couple of years because in my humble opinion I think she is really in a class by herself with her eye for color and style. Besides all that she is so incredibly warm and welcoming. I think opening this new place has been a life long dream. She has accomplished what she set out for. Downtown Tucson is now seeing a Renaissance that our community so deserves. Salon Salon is just a little bit down from Maynard's so it's easy to park. You can grab a bite and get your beauty needs all done in one clean sweep. The inside of the shop is amazingly stylish with a center huge wall with live greenery hanging by inner clips. You think you are looking at a painting and it is alive. Never seen anything like it. Also, she has some cases of beautiful affordable jewelry placed in the shop. In the rear there is a door leading out to the back which will be used to hold lectures, meetings, etc. It faces the train track.  I was lucky enough to see a train leaving for parts unknown. You can also have mani pedis, waxing room, etc. We are so lucky to live in Tucson and see the growth of our Downtown bring new life here once again.","beautiful affordable jewelry, shop, mani pedis, waxing room","original train depot building, National Register, live greenery",,,"original train depot building, National Register, live greenery, beautiful affordable jewelry, shop, mani pedis, waxing room","The salon has some cases of jewelry placed in the shop.
Customers can also have mani pedis, waxing room.","The salon is housed in the original train depot building which was built in 1907. It is also part of the National Register.
The inside of the shop has live greenery hanging by inner clips.",,,"The salon is housed in the original train depot building which was built in 1907. It is also part of the National Register.
The inside of the shop has live greenery hanging by inner clips. 
They have some cases of jewelry placed in the shop.
Customers can also have mani pedis, waxing room.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","beautiful affordable jewelry, shop, mani pedis, waxing room","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Salon Salon is housed in the original train depot building which was built in 1907. I believe it was restored in 1941 to Spanish Colonial style. It is also part of the National Register. So entering it you can feel the old embracing the newness of the interior design that now occupies the space. I've been following Jessica for the last couple of years because in my humble opinion I think she is really in a class by herself with her eye for color and style. Besides all that she is so incredibly warm and welcoming. I think opening this new place has been a life long dream. She has accomplished what she set out for. Downtown Tucson is now seeing a Renaissance that our community so deserves. Salon Salon is just a little bit down from Maynard's so it's easy to park. You can grab a bite and get your beauty needs all done in one clean sweep. The inside of the shop is amazingly stylish with a center huge wall with live greenery hanging by inner clips. You think you are looking at a painting and it is alive. Never seen anything like it. Also, she has some cases of beautiful affordable jewelry placed in the shop. In the rear there is a door leading out to the back which will be used to hold lectures, meetings, etc. It faces the train track.  I was lucky enough to see a train leaving for parts unknown. You can also have mani pedis, waxing room, etc. We are so lucky to live in Tucson and see the growth of our Downtown bring new life here once again."
24,It was my first time here and Rosa definitely took amazing care of me and my hair. My hair was in need of a major haircut from all the damage its been through from dying. She first asked me how I wanted my hair cut and gave me opinions on it. She worked with what I wanted and that's what I truly appreciated. She talked to me the whole process so I felt comfortable. Booked online which was quick and easy. Will be back in 3 months or even less for trims and treatments!,,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: It was my first time here and Rosa definitely took amazing care of me and my hair. My hair was in need of a major haircut from all the damage its been through from dying. She first asked me how I wanted my hair cut and gave me opinions on it. She worked with what I wanted and that's what I truly appreciated. She talked to me the whole process so I felt comfortable. Booked online which was quick and easy. Will be back in 3 months or even less for trims and treatments!"
25,My son likes this place. A little out of the way but ok. Prices are fair music not in english habla espanol and English lighting is a nice effect and the dirt bike is a nice touch. Clean we'd recommend.,dirt bike,,,,dirt bike,The salon has a dirt bike.,,,,The salon has a dirt bike.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",dirt bike,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: My son likes this place. A little out of the way but ok. Prices are fair music not in english habla espanol and English lighting is a nice effect and the dirt bike is a nice touch. Clean we'd recommend."
26,"Not a particularly lively place. Staff is not unfriendly, just a little lackadaisical. I told my son they would have games, which they don't. The TV is a joke but I guess better than nothing. The picture is so small you can barely see it and all that plays are cheesy, dated snip-its songs and shorts. Thank GOD for the toys that are for sale. That kept him interested during the pleasantly short visit. The haircut was okay. The experience was not bad, not great, just kind of ""meh."" Not sure if we will return.",toys,,,,toys,The salon has toys for sale.,,,,The salon has toys for sale.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",toys,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Not a particularly lively place. Staff is not unfriendly, just a little lackadaisical. I told my son they would have games, which they don't. The TV is a joke but I guess better than nothing. The picture is so small you can barely see it and all that plays are cheesy, dated snip-its songs and shorts. Thank GOD for the toys that are for sale. That kept him interested during the pleasantly short visit. The haircut was okay. The experience was not bad, not great, just kind of ""meh."" Not sure if we will return."
27,"I totally agree with the review submitted by Taylor G.
I thought I'm the only with that experience. Now it confirms that this salon needs good professional etiquette..

I made my first appointment with Amy for a haircut , color and highlight . You would think she will WOW new client with promptness and enthusiasm, right? WRONG!!... She replied to me after 3 text messages and numbers of calls to her cellphone and landline. (But i am a very patient person by nature , so no big deal) iFinally she texted me back telling me someone cancelled and can take me in ( oh wow thank you!!!). She came in 15 min late in the salon on my first appointment... (it's a turn off , but no big deal) . For me, as long as the hairstylist will do a good job and will make me feel happy with my hair... all other things are negligible. Unfortunately, my haircut was BAD and i was not happy with the result of my highlight. She offered me to come back to redo the highlights .... but when i called back again after few days.... she never returned any of my voicemails and text messages and completely ignored me. What she did to my hair ( shaving the back of my hair unevenly ) was very frustrating , but because I am a very nice person and thinking it was both our first time ... i wanted to give her the benefit of the doubt that maybe the second time around will turn out better.... but i was so disappointed how she treated and ignored me. No professional etiquette.
Go to Crush Salon instead... people there are very professional and will return your calls immediately!!!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I totally agree with the review submitted by Taylor G.
I thought I'm the only with that experience. Now it confirms that this salon needs good professional etiquette..

I made my first appointment with Amy for a haircut , color and highlight . You would think she will WOW new client with promptness and enthusiasm, right? WRONG!!... She replied to me after 3 text messages and numbers of calls to her cellphone and landline. (But i am a very patient person by nature , so no big deal) iFinally she texted me back telling me someone cancelled and can take me in ( oh wow thank you!!!). She came in 15 min late in the salon on my first appointment... (it's a turn off , but no big deal) . For me, as long as the hairstylist will do a good job and will make me feel happy with my hair... all other things are negligible. Unfortunately, my haircut was BAD and i was not happy with the result of my highlight. She offered me to come back to redo the highlights .... but when i called back again after few days.... she never returned any of my voicemails and text messages and completely ignored me. What she did to my hair ( shaving the back of my hair unevenly ) was very frustrating , but because I am a very nice person and thinking it was both our first time ... i wanted to give her the benefit of the doubt that maybe the second time around will turn out better.... but i was so disappointed how she treated and ignored me. No professional etiquette.
Go to Crush Salon instead... people there are very professional and will return your calls immediately!!!"
28,"I went in for a deva cut and instead, soon as I sat down Lana started combing through and stretching my curls out with her fingers and nails - first red flag. Then she did the same when she washed my hair, stretched it all out - multiple red flags and it was at this point that I knew I wasn't gone get what I paid for. She couldn't even use a microfiber cloth let alone the right way. Then she said she won't put much product in and she'd use lightweight product. I thought that was smart until she dumped half the bottle and ran it through my hair and scalp, all while still stretching my curls and saying """"I'm putting a little more in now so when you wake up in the mornings and you just wet it and it activates the product and you can do that for days"""" (hundreds of red flags. I knew she had no clue what the hell she was doing)... She had me sit under the dryer just 5 mins after washing my hair dried out my whole head before sitting me in the chair and telling me I actually don't need to cut much off even though I see the split ends and I told her to. Then while she cut she pulled and stretched and combed out every curl to where it was damn near straight. To top that off, the half bottle of product made my scalp greasy and made my hair stringy. 

Girl don't know what a devacut and shampoo is let alone any other curly hair care. Not a single thing she did is supposed to be done to curly hair. 

Then I cancelled my color appointment in less than 24 hours cause I wasn't about to pay her $300 to destroy my hair and she asked for $25... I looked all over their website and not once did it say anything about cancellation fees. I didn't pay her though. Worst salon/stylist ever.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I went in for a deva cut and instead, soon as I sat down Lana started combing through and stretching my curls out with her fingers and nails - first red flag. Then she did the same when she washed my hair, stretched it all out - multiple red flags and it was at this point that I knew I wasn't gone get what I paid for. She couldn't even use a microfiber cloth let alone the right way. Then she said she won't put much product in and she'd use lightweight product. I thought that was smart until she dumped half the bottle and ran it through my hair and scalp, all while still stretching my curls and saying """"I'm putting a little more in now so when you wake up in the mornings and you just wet it and it activates the product and you can do that for days"""" (hundreds of red flags. I knew she had no clue what the hell she was doing)... She had me sit under the dryer just 5 mins after washing my hair dried out my whole head before sitting me in the chair and telling me I actually don't need to cut much off even though I see the split ends and I told her to. Then while she cut she pulled and stretched and combed out every curl to where it was damn near straight. To top that off, the half bottle of product made my scalp greasy and made my hair stringy. 

Girl don't know what a devacut and shampoo is let alone any other curly hair care. Not a single thing she did is supposed to be done to curly hair. 

Then I cancelled my color appointment in less than 24 hours cause I wasn't about to pay her $300 to destroy my hair and she asked for $25... I looked all over their website and not once did it say anything about cancellation fees. I didn't pay her though. Worst salon/stylist ever."
29,"My daughter loves this place! Heather is great with the kids. She has movies/tv, toys, and a floor-to-ceiling chalk board to keep them occupied. At the end of each haircut, my daughter gets glitter put in her hair and a balloon (leaving her excited to go back).","movies/tv, toys, floor-to-ceiling chalk board, glitter, balloon",,,,"movies/tv, toys, floor-to-ceiling chalk board, glitter, balloon","The salon has movies/tv, toys, and a floor-to-ceiling chalk board to keep kids occupied.
At the end of each haircut, kids get glitter put in their hair and a balloon.",,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","movies/tv, toys, floor-to-ceiling chalk board, glitter, balloon","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: My daughter loves this place! Heather is great with the kids. She has movies/tv, toys, and a floor-to-ceiling chalk board to keep them occupied. At the end of each haircut, my daughter gets glitter put in her hair and a balloon (leaving her excited to go back)."
30,"I've been getting my locs done by Trina B at Bella Locs since 2017 and let me tell you, she is THE BEST. I get so many compliments on my hair everywhere I go. She takes her time, doesn't rush through, and has excellent customer service. Every question you could ever have about her signature locs are on her website and Instagram but she still takes the time to make videos, tutorials, and go live to connect with her clients. The hair itself is easy to manage, not heavy at all and can be styled any way you wish. You also will be given an option to choose from several different colors which I thought was great. She also uses her own product when styling her clients' hair and I personally love it. It smells great and works wonders because my hair has grown so much!! If I could give Bella Locs a 10, I would!!","videos, tutorials, go live",,,,"videos, tutorials, go live","The salon makes videos, tutorials, and go live to connect with their clients.",,,,"The salon makes videos, tutorials, and go live to connect with their clients.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","videos, tutorials, go live","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I've been getting my locs done by Trina B at Bella Locs since 2017 and let me tell you, she is THE BEST. I get so many compliments on my hair everywhere I go. She takes her time, doesn't rush through, and has excellent customer service. Every question you could ever have about her signature locs are on her website and Instagram but she still takes the time to make videos, tutorials, and go live to connect with her clients. The hair itself is easy to manage, not heavy at all and can be styled any way you wish. You also will be given an option to choose from several different colors which I thought was great. She also uses her own product when styling her clients' hair and I personally love it. It smells great and works wonders because my hair has grown so much!! If I could give Bella Locs a 10, I would!!"
31,"I have been coming to Hair Jazz for the past few years that I've lived in the area. I have gotten haircuts and eyebrow waxes here several times. The facility is clean and the supplies they use are really good. The coconut shampoo they use smells so good! 

Most importantly the staff is very friendly and talented! Joe and Brianna are the only two who have ever cut my hair and they both do a great job! Joe is the owner and he is multi-talented because he also owns the bike shop next door - Barr's Bikes and Boards. It's always nice to have a bike-related conversation with him!",eyebrow waxes,,"bike shop, Barr's Bikes and Boards",,eyebrow waxes,The salon does eyebrow waxes.,,The owner also owns the bike shop next door - Barr's Bikes and Boards.,,The salon does eyebrow waxes.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",eyebrow waxes,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I have been coming to Hair Jazz for the past few years that I've lived in the area. I have gotten haircuts and eyebrow waxes here several times. The facility is clean and the supplies they use are really good. The coconut shampoo they use smells so good! 

Most importantly the staff is very friendly and talented! Joe and Brianna are the only two who have ever cut my hair and they both do a great job! Joe is the owner and he is multi-talented because he also owns the bike shop next door - Barr's Bikes and Boards. It's always nice to have a bike-related conversation with him!"
32,"Had great service my first time at the Gallery location, but the second time I went to their new location and the lady cut me with the thread twice (I was bleeding) and left some rather obvious strays. When I pointed them out, she claimed they were ingrown. The moment I got home, I plucked them right out (not ingrown) and cleaned up several other ones she missed. 

I'll give them the benefit of the doubt and try again. They have great prices and even give a student discount. I guess I'll have to keep my rubbing alcohol on hand just in case!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Had great service my first time at the Gallery location, but the second time I went to their new location and the lady cut me with the thread twice (I was bleeding) and left some rather obvious strays. When I pointed them out, she claimed they were ingrown. The moment I got home, I plucked them right out (not ingrown) and cleaned up several other ones she missed. 

I'll give them the benefit of the doubt and try again. They have great prices and even give a student discount. I guess I'll have to keep my rubbing alcohol on hand just in case!"
33,"Great experience the hairstylist took her time listened to what I wanted. Very friendly and my hair turned out great. The only problem I had was the price (which is totally not the stylists fault) maybe chatters should think about the prices they charge for services. I had foils, color and cut which if you look at hourly was close to $100 an hour for 3 hour appt. I fully realize that stylist wages and products are a cost but there is no way it works out to 278.00. Possibly the salon would be busier if prices were more reasonable. As much as I like the color and cut I will have to really consider paying that price again.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Great experience the hairstylist took her time listened to what I wanted. Very friendly and my hair turned out great. The only problem I had was the price (which is totally not the stylists fault) maybe chatters should think about the prices they charge for services. I had foils, color and cut which if you look at hourly was close to $100 an hour for 3 hour appt. I fully realize that stylist wages and products are a cost but there is no way it works out to 278.00. Possibly the salon would be busier if prices were more reasonable. As much as I like the color and cut I will have to really consider paying that price again."
34,"I decided to go to Plume on a whim since it's just a block from my house. I was very pleased with the service and how my hair turned out. I was greeted by name upon arriving and offered water, coffee, or a glass of wine. You really can't beat the eclectic feel you get in this intimate space. They sell adorable potted plants and succulents, as well as unique jewelry, clothes, and items that I assume are made by local artists. The esthetic has a very relaxing gypsy vibe with beautifully mismatched furniture and exposed brick. I was a fan of the bowl of candy they had in the waiting area. 

I can't remember my hair dresser's name but she was very nice and helpful. I left it in her hands to decide which color to highlight hair and I'm so happy I did that. She suggested I go for a more golden blonde tone because my current color was washing me out. All of the products she used smelled SO good and I left a very happy camper. It's not just a haircut appointment - It's an experience. I will be coming back to Plume for my next cut!","adorable potted plants, succulents, unique jewelry, clothes, items, local artists","eclectic feel, very relaxing gypsy vibe, beautifully mismatched furniture, exposed brick",,,"eclectic feel, adorable potted plants, succulents, unique jewelry, clothes, items, local artists, very relaxing gypsy vibe, beautifully mismatched furniture, exposed brick","The salon sells adorable potted plants and succulents, as well as unique jewelry, clothes, and items made by local artists.","You really can't beat the eclectic feel you get in this salon.
The esthetic has a very relaxing gypsy vibe with beautifully mismatched furniture and exposed brick.",,,"You really can't beat the eclectic feel you get in this salon.
The salon sells adorable potted plants and succulents, as well as unique jewelry, clothes, and items made by local artists.
The esthetic has a very relaxing gypsy vibe with beautifully mismatched furniture and exposed brick.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","adorable potted plants, succulents, unique jewelry, clothes, items, local artists","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I decided to go to Plume on a whim since it's just a block from my house. I was very pleased with the service and how my hair turned out. I was greeted by name upon arriving and offered water, coffee, or a glass of wine. You really can't beat the eclectic feel you get in this intimate space. They sell adorable potted plants and succulents, as well as unique jewelry, clothes, and items that I assume are made by local artists. The esthetic has a very relaxing gypsy vibe with beautifully mismatched furniture and exposed brick. I was a fan of the bowl of candy they had in the waiting area. 

I can't remember my hair dresser's name but she was very nice and helpful. I left it in her hands to decide which color to highlight hair and I'm so happy I did that. She suggested I go for a more golden blonde tone because my current color was washing me out. All of the products she used smelled SO good and I left a very happy camper. It's not just a haircut appointment - It's an experience. I will be coming back to Plume for my next cut!"
35,"BJ's hair shop has been like family to me. I've been seeing them for 8+ years, and I haven't looked back. They are hands-down the best barbershop in town and the biggest supporters of our community. The atmosphere, the quality of haircuts, and the free beer/coffee are great - but it's the people that make it so special. Here's a little story: I first met Mari and Doris at UNR when they so graciously came to shave people's heads to help fundraise for St. Baldrick's cancer foundation. They shaved over 50+ people's heads and we raised $1,000's to donate for cancer patients. Then they came back to UNR once more and helped to run another philanthropy, a men's fashion show, which I participated in. It was called ""Mr. GQ"" and again, we raised money for a good cause - this time to help feed the hungry. They gave all the contestants free haircuts! A couple of years later, and after seeing these ladies every couple of months, I was helping to raise money for the Nevada Men's Soccer team... I felt like I should ask Doris if she would be willing to help - yep! They donated over $500 to our Nevada Men's Club Soccer program!!!! This helped us to buy new jerseys. Finally, when I got into medical school, these fine people helped fund an international medical mission for me - not once, but twice! Besides being cheerful, talented, and easy-going they are the kindest group of people you've ever met. Go on, bring your business here and You. Will. Not. Regret it. If you're visiting - this will be a nice spot to check out before going downtown. If you're a local, you should make it a point to pop in on the reg, grab a beer from their mini-fridge and kick it with Doris, Mari and all the awesome people here. 10/10 would recommend this place to anybody - guy or gal. They are the best.

THANK YOU BJ'S for being genuinely GREAT!!! You will be missed dearly when I have to find a barber in a new city - don't worry I'll be back ;) .","St. Baldrick's cancer foundation, another philanthropy, hungry, free haircuts, Nevada Men's Club Soccer program, international medical mission",,,,"St. Baldrick's cancer foundation, another philanthropy, hungry, free haircuts, Nevada Men's Club Soccer program, international medical mission","The salon helped fundraise for St. Baldrick's cancer foundation.
They helped run another philanthropy, a men's fashion show, to help feed the hungry. They gave all the contestants free haircuts.
They donated over $500 to our Nevada Men's Club Soccer program.
They helped fund an international medical mission.",,,,"The salon helped fundraise for St. Baldrick's cancer foundation.
They helped run another philanthropy, a men's fashion show, to help feed the hungry. They gave all the contestants free haircuts.
They donated over $500 to our Nevada Men's Club Soccer program.
They helped fund an international medical mission.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","St. Baldrick's cancer foundation, another philanthropy, hungry, free haircuts, Nevada Men's Club Soccer program, international medical mission","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: BJ's hair shop has been like family to me. I've been seeing them for 8+ years, and I haven't looked back. They are hands-down the best barbershop in town and the biggest supporters of our community. The atmosphere, the quality of haircuts, and the free beer/coffee are great - but it's the people that make it so special. Here's a little story: I first met Mari and Doris at UNR when they so graciously came to shave people's heads to help fundraise for St. Baldrick's cancer foundation. They shaved over 50+ people's heads and we raised $1,000's to donate for cancer patients. Then they came back to UNR once more and helped to run another philanthropy, a men's fashion show, which I participated in. It was called ""Mr. GQ"" and again, we raised money for a good cause - this time to help feed the hungry. They gave all the contestants free haircuts! A couple of years later, and after seeing these ladies every couple of months, I was helping to raise money for the Nevada Men's Soccer team... I felt like I should ask Doris if she would be willing to help - yep! They donated over $500 to our Nevada Men's Club Soccer program!!!! This helped us to buy new jerseys. Finally, when I got into medical school, these fine people helped fund an international medical mission for me - not once, but twice! Besides being cheerful, talented, and easy-going they are the kindest group of people you've ever met. Go on, bring your business here and You. Will. Not. Regret it. If you're visiting - this will be a nice spot to check out before going downtown. If you're a local, you should make it a point to pop in on the reg, grab a beer from their mini-fridge and kick it with Doris, Mari and all the awesome people here. 10/10 would recommend this place to anybody - guy or gal. They are the best.

THANK YOU BJ'S for being genuinely GREAT!!! You will be missed dearly when I have to find a barber in a new city - don't worry I'll be back ;) ."
36,"Only giving a 1 because there is nothing lower!!! Angie
Gave me the worst haircut I've ever had!!! I came in with 2 photos of the cut I wanted came out with my hair looking NOTHING like the photos!! Even when pointed out to her she didn't not pay attention to what she was doing. Came out basically having a mans flattop! Would never go to this place again!!! Nothing like going into the Holidays with a crappie haircut. Thank you!! Angie and Regis Hair salon!!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Only giving a 1 because there is nothing lower!!! Angie
Gave me the worst haircut I've ever had!!! I came in with 2 photos of the cut I wanted came out with my hair looking NOTHING like the photos!! Even when pointed out to her she didn't not pay attention to what she was doing. Came out basically having a mans flattop! Would never go to this place again!!! Nothing like going into the Holidays with a crappie haircut. Thank you!! Angie and Regis Hair salon!!"
37,"Lots of good things about this place, but almost as many not so good things. I continue to take my youngest child there because of the experience it offers, but I do it every time kicking and screaming. And if she were a boy (meaning, needing more frequent haircuts as opposed to the twice per year my daughter needs) then I'd definitely find somewhere else. 

The pros: The inside is bright, cheerful, and clean. They do appointment times, which I wish I had noticed before. As you walk in, they have a play area to the right where you can wait, along with some video games hooked up to TV's on the other side for older kids. While the kids get their hair cut, they can choose to sit in a regular seat, or a taxi, firetruck, or race car. They can also choose which DVD they'd like to watch, and there's quite an assortment of Disney and Nickelodeon favorites. They can also opt to play a video game. Win for wiggly kids. If that's not enough, they have toys in the drawer for your child to play with (although, I will pass, I don't want my kid touching something that's been handled by other peoples' crying, drooling, snotty children). The employees are usually very nice, and you can sit very near to your child while they get their trim. When finished, kids get a lollipop, and if it's their first haircut they even give you a keepsake card to put their first trim into. 

Now, the cons. Price. Just a basic cut, no shampoo or style, and not even a full blow dry will run you about $18. They do have some sort of rewards program, but I've yet to reap any rewards from this so called rewards program. The wait. I arrived at 3:45pm on a Monday after school, with no one in the waiting area. Two kids were having their hair cut by two employees that work there. An hour later, we were finally seated and getting ready to get our trim. They took people with an appointment ahead of everyone else, which is great if you have an appointment. But this place really wasn't THAT busy, so I'm not sure what the deal was. Next con is the toys. No, not the toys for them to play with because that's great and keeps their attention. The toys near the checkout. Like, say Johnny really enjoyed playing with Thomas the Train, well, low and behold there's a packaged Thomas ready to go right by the checkout! I can only imagine the nightmares some parents are faced with. But then again, if bribery is your route, this might be a pro for you (although I'm sure the prices are ridiculous). Lots of hairbows and other things for sale, as well, and hair products, of course. 

If your kid is happy and well-behaved for a regular haircut, take them to a regular old place. But if you have a fidgety child that dislikes the haircutting experience, give this place a try.","play area, video games, regular seat, taxi, firetruck, race car, DVD, Disney, Nickelodeon favorites, video game, lollipop, keepsake card, toys",,,,"play area, video games, regular seat, taxi, firetruck, race car, DVD, Disney, Nickelodeon favorites, video game, lollipop, keepsake card, toys","The salon has a play area along with some video games for older kids.
While the kids get their hair cut, they can choose to sit in a regular seat, or a taxi, firetruck, or race car.
They can also choose which DVD they'd like to watch, and there's quite an assortment of Disney and Nickelodeon favorites.
They can also opt to play a video game.
They have toys for your child to play with.
When the haircut is finished, kids get a lollipop, and if it's their first haircut they even give you a keepsake card to put their first trim into.
They have toys near the checkout.",,,,"The salon has a play area along with some video games for older kids.
While the kids get their hair cut, they can choose to sit in a regular seat, or a taxi, firetruck, or race car.
They can also choose which DVD they'd like to watch, and there's quite an assortment of Disney and Nickelodeon favorites.
They can also opt to play a video game.
They have toys for your child to play with.
When the haircut is finished, kids get a lollipop, and if it's their first haircut they even give you a keepsake card to put their first trim into.
They have toys near the checkout.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","play area, video games, regular seat, taxi, firetruck, race car, DVD, Disney, Nickelodeon favorites, video game, lollipop, keepsake card, toys","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Lots of good things about this place, but almost as many not so good things. I continue to take my youngest child there because of the experience it offers, but I do it every time kicking and screaming. And if she were a boy (meaning, needing more frequent haircuts as opposed to the twice per year my daughter needs) then I'd definitely find somewhere else. 

The pros: The inside is bright, cheerful, and clean. They do appointment times, which I wish I had noticed before. As you walk in, they have a play area to the right where you can wait, along with some video games hooked up to TV's on the other side for older kids. While the kids get their hair cut, they can choose to sit in a regular seat, or a taxi, firetruck, or race car. They can also choose which DVD they'd like to watch, and there's quite an assortment of Disney and Nickelodeon favorites. They can also opt to play a video game. Win for wiggly kids. If that's not enough, they have toys in the drawer for your child to play with (although, I will pass, I don't want my kid touching something that's been handled by other peoples' crying, drooling, snotty children). The employees are usually very nice, and you can sit very near to your child while they get their trim. When finished, kids get a lollipop, and if it's their first haircut they even give you a keepsake card to put their first trim into. 

Now, the cons. Price. Just a basic cut, no shampoo or style, and not even a full blow dry will run you about $18. They do have some sort of rewards program, but I've yet to reap any rewards from this so called rewards program. The wait. I arrived at 3:45pm on a Monday after school, with no one in the waiting area. Two kids were having their hair cut by two employees that work there. An hour later, we were finally seated and getting ready to get our trim. They took people with an appointment ahead of everyone else, which is great if you have an appointment. But this place really wasn't THAT busy, so I'm not sure what the deal was. Next con is the toys. No, not the toys for them to play with because that's great and keeps their attention. The toys near the checkout. Like, say Johnny really enjoyed playing with Thomas the Train, well, low and behold there's a packaged Thomas ready to go right by the checkout! I can only imagine the nightmares some parents are faced with. But then again, if bribery is your route, this might be a pro for you (although I'm sure the prices are ridiculous). Lots of hairbows and other things for sale, as well, and hair products, of course. 

If your kid is happy and well-behaved for a regular haircut, take them to a regular old place. But if you have a fidgety child that dislikes the haircutting experience, give this place a try."
