,review,true_nc,true_oc,true_nc_oc,abs_true_nc,abs_true_nc_1,instruction,label,formatted_output
10,"Absolutly a rude staff working there. I am new in town so I don't know about drive thru policies. When I went there after waiting for God knows how much I got the most unprofessional conversation with an old staff member. I would not be mad if he just said ""I'm sorry we don't serve those on bicycles,"" but that was not the case. He talked to me like I was a homeless man begging for food. Then I decided never to go back until they put their shit together.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Absolutly a rude staff working there. I am new in town so I don't know about drive thru policies. When I went there after waiting for God knows how much I got the most unprofessional conversation with an old staff member. I would not be mad if he just said ""I'm sorry we don't serve those on bicycles,"" but that was not the case. He talked to me like I was a homeless man begging for food. Then I decided never to go back until they put their shit together."
11,"This place is great. I've dined in numerous times. The food is good, the staff is really nice and your food arrives really quick. My family and I usually order both sushi and entrées. It was pretty busy today, but the servers were always aware of our drinks running low and knew when we were wrapping things up.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: This place is great. I've dined in numerous times. The food is good, the staff is really nice and your food arrives really quick. My family and I usually order both sushi and entrées. It was pretty busy today, but the servers were always aware of our drinks running low and knew when we were wrapping things up."
12,"There is a sign right out front that is not very customer service friendly, kind of a turn off from the very beginning. The wait was 30 min, they were on time with that. Waiting for food to come out was horrible. Three tables came in after us and left before we received our food (order the exact same thing we did). We waited 15 min before our drink orders were taken. We ordered two fish spread, only received one. When we asked if we ordered one or two? The waitress snapped at us very rudely and said you ordered a salad and I was going to bring it out as your meal. Response was okay, tone was horrible! Some of us received refills, most did not. I am okay with the smoking at the bar, but there were people smoking way away from the bar and the entire place smelled of stale smoke. The food was edible  which is why they are getting one star. They had a shorter wait which is why we chose to eat there, my advice is to take the longer wait somewhere else and have better service and food.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: There is a sign right out front that is not very customer service friendly, kind of a turn off from the very beginning. The wait was 30 min, they were on time with that. Waiting for food to come out was horrible. Three tables came in after us and left before we received our food (order the exact same thing we did). We waited 15 min before our drink orders were taken. We ordered two fish spread, only received one. When we asked if we ordered one or two? The waitress snapped at us very rudely and said you ordered a salad and I was going to bring it out as your meal. Response was okay, tone was horrible! Some of us received refills, most did not. I am okay with the smoking at the bar, but there were people smoking way away from the bar and the entire place smelled of stale smoke. The food was edible  which is why they are getting one star. They had a shorter wait which is why we chose to eat there, my advice is to take the longer wait somewhere else and have better service and food."
13,"The difference between Thai and Laotian cuisine is damned if I know.  It is a fairly safe bet that if you like one, you'll like the other. All of the curries here are very tasty.  The Shrimp sweet basil is very good and so is the triple-flavor red snapper.  I also have to hand it to this place for making my favorite thai iced tea in Philly.  It is like the tea leaves, condensed milk, and sugar had formed an unholy alliance with the devil so that they could climb to the top of the thai iced tea game.  It is very sweet and very tea-y.  ? Whatever. Anyhow, the place has a pretty ambiance and the service has always been stupendous.  On top of all this, it is a BYOB.  It is a great place.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: The difference between Thai and Laotian cuisine is damned if I know.  It is a fairly safe bet that if you like one, you'll like the other. All of the curries here are very tasty.  The Shrimp sweet basil is very good and so is the triple-flavor red snapper.  I also have to hand it to this place for making my favorite thai iced tea in Philly.  It is like the tea leaves, condensed milk, and sugar had formed an unholy alliance with the devil so that they could climb to the top of the thai iced tea game.  It is very sweet and very tea-y.  ? Whatever. Anyhow, the place has a pretty ambiance and the service has always been stupendous.  On top of all this, it is a BYOB.  It is a great place."
14,"This restaurant is inside an Asian market, which is family owned and operated. The men who served me reminded me of my own family and I felt at home. It wasn't busy at all when I came in on a Monday afternoon but when I got my pho, it was so good. One thing I always pay attention to when eating pho at restaurants are the noodles. Were the noodles freshly cooked to order or were they previously made and left out in bowls ready for the broth? The noodles were freshly cooked and the pho broth was great, but definitely not as good as my dad's (*wink wink*) haha! The man who made my food spoke to me like I was his niece in Vietnamese and it was nice to talk to him, since I don't get much of a chance to speak Vietnamese here in Reno. I would definitely come here again just because I enjoy not only their food, but their family business as well.",Asian market,,Asian market,They are inside an Asian market.,The restaurant is inside an Asian market.,list what is atypical in the restaurant. Separate them using commas.,Asian market,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: This restaurant is inside an Asian market, which is family owned and operated. The men who served me reminded me of my own family and I felt at home. It wasn't busy at all when I came in on a Monday afternoon but when I got my pho, it was so good. One thing I always pay attention to when eating pho at restaurants are the noodles. Were the noodles freshly cooked to order or were they previously made and left out in bowls ready for the broth? The noodles were freshly cooked and the pho broth was great, but definitely not as good as my dad's (*wink wink*) haha! The man who made my food spoke to me like I was his niece in Vietnamese and it was nice to talk to him, since I don't get much of a chance to speak Vietnamese here in Reno. I would definitely come here again just because I enjoy not only their food, but their family business as well."
15,"Not much to say because it is simple. Smash burger, add American Cheese, put on a bun, lettuce tomato, eat. Seriously the best tasting burger in the Indy area. I am addicted to the French Onion Sauce and the plastic cheese sauce drenching crinkle cut fries. It is simple, but so, so good. I am not surprised that this is one of the best burgers I have ever had since it came from the same chef who introduced me to the peanut butter, mayo and pickle sandwich (maybe that sandwich should make a comeback here!?!?). Get in while you can.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Not much to say because it is simple. Smash burger, add American Cheese, put on a bun, lettuce tomato, eat. Seriously the best tasting burger in the Indy area. I am addicted to the French Onion Sauce and the plastic cheese sauce drenching crinkle cut fries. It is simple, but so, so good. I am not surprised that this is one of the best burgers I have ever had since it came from the same chef who introduced me to the peanut butter, mayo and pickle sandwich (maybe that sandwich should make a comeback here!?!?). Get in while you can."
16,"As a girl scout daisy mom, I thoroughly enjoyed seeing GS Cookies crafted into their full potential... alcoholic beverages. Seriously, I would probably buy more cookies from my daughter if I knew how to make drinks out of them! With all of the bites of food & drinks made out of the cookies, I kind of felt like I was on the verge of a diabetic coma by the end of it, but everything was SO GOOD.I did feel like the event itself was a little... slow? I'm not sure if that's the right word. There just wasn't much to ""do"" after making our way around to all of the sampling stations, besides sit, chat, and enjoy the band. We left pretty early on. As enjoyable as the band was - and they had a great singer - there's only so much sitting around that I can do, especially while my stomach was full of sugar. Still, this was a great opportunity for an evening out, I got to sample some great items, and they had a nice silent auction.",band,great singer,"band, great singer",One day they had a band.,One day the restaurant had a band.,list what is atypical in the restaurant. Separate them using commas.,band,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: As a girl scout daisy mom, I thoroughly enjoyed seeing GS Cookies crafted into their full potential... alcoholic beverages. Seriously, I would probably buy more cookies from my daughter if I knew how to make drinks out of them! With all of the bites of food & drinks made out of the cookies, I kind of felt like I was on the verge of a diabetic coma by the end of it, but everything was SO GOOD.I did feel like the event itself was a little... slow? I'm not sure if that's the right word. There just wasn't much to ""do"" after making our way around to all of the sampling stations, besides sit, chat, and enjoy the band. We left pretty early on. As enjoyable as the band was - and they had a great singer - there's only so much sitting around that I can do, especially while my stomach was full of sugar. Still, this was a great opportunity for an evening out, I got to sample some great items, and they had a nice silent auction."
17,"Okay, first a diner is in a diner car not in a retail space that used to be a book store or a leather handbag store. It totally fits the mall atmosphere (that's not a great compliment). I think the food is OK and that accounts for the 2 stars. But decent food alone only gets you a decent rating. The atmosphere is like a theme park and since its in the mall it really adds to the over the top theme park feel. The space itself has no redeeming qualities and it feels more like you're in a pharmacy. Actually, I take that back because I've been in pharmacies that have more atmosphere. If you go to this ""restaurant"" will someone please pick up my prescription for vikadin? Zzzzzzzzzzzzz!",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Okay, first a diner is in a diner car not in a retail space that used to be a book store or a leather handbag store. It totally fits the mall atmosphere (that's not a great compliment). I think the food is OK and that accounts for the 2 stars. But decent food alone only gets you a decent rating. The atmosphere is like a theme park and since its in the mall it really adds to the over the top theme park feel. The space itself has no redeeming qualities and it feels more like you're in a pharmacy. Actually, I take that back because I've been in pharmacies that have more atmosphere. If you go to this ""restaurant"" will someone please pick up my prescription for vikadin? Zzzzzzzzzzzzz!"
18,Walked up and down Broadway and chose the best sounding band. The female vocalist on 9/8/17 blew us away! The food didn't.,best sounding band,female vocalist,"best sounding band, female vocalist",One day they had the best sounding band on Broadway.,One day the restaurant had the best sounding band on Broadway.,list what is atypical in the restaurant. Separate them using commas.,best sounding band,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Walked up and down Broadway and chose the best sounding band. The female vocalist on 9/8/17 blew us away! The food didn't."
19,"The lime green counter, shiny plastic furniture, and stained concrete floors at the Fat Straw fit right in with and outdo the futuristic style of bubble tea cafes I've been to in other cities. The wall of polaroids of customers does a nice job balancing out all the geometric shapes and synthetic materials, and keeps the Fat Straw from feeling sterile. I would expect the high-end look of the Fat Straw, along with its prime location at Edgehill Village, to mean that the prices would be higher than the usual bubble tea hole in the wall, but they're actually pretty standard ($3.50 for a 16oz bubble tea). Along with the usual flavors, some more interesting possibilities that caught my eye were red bean, honeydew, lychee, pomegranate, ginger, elvis (banana + peanut butter), and sesame. The only drawbacks to the Fat Straw that I can see are the small size of the cafe (it would feel crowded with any more than 15 customers inside) and their cash only policy.",,"lime green counter, shiny plastic furniture, stained concrete floors, polaroids, geometric shapes, synthetic materials, high-end look","lime green counter, shiny plastic furniture, stained concrete floors, polaroids, geometric shapes, synthetic materials, high-end look",,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: The lime green counter, shiny plastic furniture, and stained concrete floors at the Fat Straw fit right in with and outdo the futuristic style of bubble tea cafes I've been to in other cities. The wall of polaroids of customers does a nice job balancing out all the geometric shapes and synthetic materials, and keeps the Fat Straw from feeling sterile. I would expect the high-end look of the Fat Straw, along with its prime location at Edgehill Village, to mean that the prices would be higher than the usual bubble tea hole in the wall, but they're actually pretty standard ($3.50 for a 16oz bubble tea). Along with the usual flavors, some more interesting possibilities that caught my eye were red bean, honeydew, lychee, pomegranate, ginger, elvis (banana + peanut butter), and sesame. The only drawbacks to the Fat Straw that I can see are the small size of the cafe (it would feel crowded with any more than 15 customers inside) and their cash only policy."
20,"Weird place upstairs had a differny crowd, more of a punk, lady gaga type crowd. They had porn playing through a projecter which is kinda weird. Downstairs is the upside. Nice trendy lounge type with a sophisticated crowd and nice band playing good music.","porn, nice band",,"porn, nice band","One day they had porn playing through a projector.
One day they had a band playing music.",One day the restaurant had porn playing through a projector and a band playing music.,list what is atypical in the restaurant. Separate them using commas.,"porn, nice band","question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Weird place upstairs had a differny crowd, more of a punk, lady gaga type crowd. They had porn playing through a projecter which is kinda weird. Downstairs is the upside. Nice trendy lounge type with a sophisticated crowd and nice band playing good music."
21,"Absolutely wonderful! I was headed up to Santa Barbara and knew I'd be in town early enough to grab some breakie - there are a few Jeannine's locations but I of course wanted to stop in Montecito. What a charming little bakery with amazing food. I arrived around 830A on a Saturday and there were only a few people in line in front of me. Order and pay at the cash register, then seat yourself - coffee was out very quickly and food followed soon after. I opted for my usual non fat latte and ordered the Famous Banana Kahlua French Toast - Challah bread topped with bananas sauteed in brown sugar, Kahlua and butter - OMG, Wow! Blew my mind, sex in your mouth good! Many reviews mentioned this being the best french toast anyone had ever eaten therefore my hopes were set exceptionally high and I'll tell you, I was not let down for a second. It's quite hard to compare it to my other most fav french toast  (chocolate chip cookie chips ahoy french toast from the Griddle Cafe in LA) of all time because they are quite different so they share the #1 spot ;) I will certainly visit this Jeannine's for many years to come - it's adorable, tasty and in Montecito, what's not to love???",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Absolutely wonderful! I was headed up to Santa Barbara and knew I'd be in town early enough to grab some breakie - there are a few Jeannine's locations but I of course wanted to stop in Montecito. What a charming little bakery with amazing food. I arrived around 830A on a Saturday and there were only a few people in line in front of me. Order and pay at the cash register, then seat yourself - coffee was out very quickly and food followed soon after. I opted for my usual non fat latte and ordered the Famous Banana Kahlua French Toast - Challah bread topped with bananas sauteed in brown sugar, Kahlua and butter - OMG, Wow! Blew my mind, sex in your mouth good! Many reviews mentioned this being the best french toast anyone had ever eaten therefore my hopes were set exceptionally high and I'll tell you, I was not let down for a second. It's quite hard to compare it to my other most fav french toast  (chocolate chip cookie chips ahoy french toast from the Griddle Cafe in LA) of all time because they are quite different so they share the #1 spot ;) I will certainly visit this Jeannine's for many years to come - it's adorable, tasty and in Montecito, what's not to love???"
22,"Roast, Inc. was my favorite Nashville coffee shop by far. I was super bummed when they closed. And I'm now even more excited that Brad and Lesa have opened a new shop, with a different vibe, in a much more convenient location. First, the coffee. They roast all of their coffees in house and they have established, close relationships with all their suppliers. They choose only quality coffees and are roasting constantly to support both their wholesale business (local restaurants, coffee shops, Whole Foods, etc.) and their newly rejuvenated retail business. Second, the customer service. The folks at Roast LOVE coffee - this is no secret. It seems that they are equally bought into a love of coffee education. They really do nurture the average coffee consumer, should he or she so choose, into taking a step or two below the surface of coffee brewing, roasting and enjoyment. For example - at this new Roast location, if you order a cup of pour over coffee, you are greeted on the other side of the counter by a barista (or perhaps Lesa or Brad, if they're not busy in the back roasting and tending to business) who asks: ""Would you like me to brew your cup for you or would you like to do it yourself?"" Mostly out of curiosity, I asked Lesa to brew my cup for me. She proceeded to walk me through the entire process - she walked me through choosing one of the two roasts they had waiting in separate burr grinders, explained common missteps during the grinding process, showed me how to let the coffee bloom and why that is important, and finally, demonstrated how to complete the process gradually (over 3-4 minutes) to finish the perfect 16oz cup. Lesa wanted me to learn how to make a perfect pour over cup from scratch by myself, and perhaps next time, I will. I'm not a big ""coffee drink"" guy, but many of my friends are, and I can say that anything with an espresso base that I've tried (latte, cappucino) has been fantastic. The store itself is spacious - there are many places to sit, work and enjoy your coffee. While I was sitting enjoying my pour over, one of the baristas brought around samples of a coffee he had just brewed in a Siphon pot. Yes please. I'll also give a huge thumbs up for location - I was among the crew that was willing to trek to Trousdale for a cup of MTO coffee, but I don't think anyone can argue that this new location isn't much better for the average Nashville consumer. And hopefully, a long-lived retail business will support this theory.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Roast, Inc. was my favorite Nashville coffee shop by far. I was super bummed when they closed. And I'm now even more excited that Brad and Lesa have opened a new shop, with a different vibe, in a much more convenient location. First, the coffee. They roast all of their coffees in house and they have established, close relationships with all their suppliers. They choose only quality coffees and are roasting constantly to support both their wholesale business (local restaurants, coffee shops, Whole Foods, etc.) and their newly rejuvenated retail business. Second, the customer service. The folks at Roast LOVE coffee - this is no secret. It seems that they are equally bought into a love of coffee education. They really do nurture the average coffee consumer, should he or she so choose, into taking a step or two below the surface of coffee brewing, roasting and enjoyment. For example - at this new Roast location, if you order a cup of pour over coffee, you are greeted on the other side of the counter by a barista (or perhaps Lesa or Brad, if they're not busy in the back roasting and tending to business) who asks: ""Would you like me to brew your cup for you or would you like to do it yourself?"" Mostly out of curiosity, I asked Lesa to brew my cup for me. She proceeded to walk me through the entire process - she walked me through choosing one of the two roasts they had waiting in separate burr grinders, explained common missteps during the grinding process, showed me how to let the coffee bloom and why that is important, and finally, demonstrated how to complete the process gradually (over 3-4 minutes) to finish the perfect 16oz cup. Lesa wanted me to learn how to make a perfect pour over cup from scratch by myself, and perhaps next time, I will. I'm not a big ""coffee drink"" guy, but many of my friends are, and I can say that anything with an espresso base that I've tried (latte, cappucino) has been fantastic. The store itself is spacious - there are many places to sit, work and enjoy your coffee. While I was sitting enjoying my pour over, one of the baristas brought around samples of a coffee he had just brewed in a Siphon pot. Yes please. I'll also give a huge thumbs up for location - I was among the crew that was willing to trek to Trousdale for a cup of MTO coffee, but I don't think anyone can argue that this new location isn't much better for the average Nashville consumer. And hopefully, a long-lived retail business will support this theory."
