,review,comments,true_strong,true_weak,true_other_strong,true_other_weak,true_strong_weak,true_all,abs_true_strong_alt,abs_true_weak_alt,abs_true_other_strong_alt,abs_true_other_weak_alt,abs_true_strong_weak_alt,abs_true_all_alt,instruction,label,formatted_output
18,"First thing about this place is they have great service. The room was kept very clean, a little out-dated in some aspects but the important stuff was great. I also enjoyed waking up to my windshield and windows on my car cleaned. The bed was VERY comfortable, and I enjoyed the fruit in the room. There is also a fitness room and a massage room (didn't get to try that). Free wi-fi which also allows you to print to their lobby. I also believe you get free amtrak shuttle service for staying here. I would stay again, overall nice and cozy.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: First thing about this place is they have great service. The room was kept very clean, a little out-dated in some aspects but the important stuff was great. I also enjoyed waking up to my windshield and windows on my car cleaned. The bed was VERY comfortable, and I enjoyed the fruit in the room. There is also a fitness room and a massage room (didn't get to try that). Free wi-fi which also allows you to print to their lobby. I also believe you get free amtrak shuttle service for staying here. I would stay again, overall nice and cozy."
19,"I am very undecided about my feelings for this place, it has its good and bad so I would rate it average.

For a Hilton, the customer service was good, especially the girl during the morning to afternoon shift was nice and helpful and she wore a smile(very unusual these days for the hospitality industry) The lady serving breakfast early morning was very nice as well.

I purchased breakfast while booking and it was helpful, they have options from continental to individual selection, including pancakes and eggs(any style)
It's strategically located in Goleta across a big shopping complex that includes Costco,Target,Starbucks and a lot of other food options.

What I didn't like was the room, there is absolutely no ventilation, even in the bathroom. The room was very small and didn't have enough lights. Also housekeeping is for 2 nights or more. For the price I would have expected a better room.

Since I booked using Expedia,Hilton honors does not count, bummer!

There are enough things to do around the area, State st is about 10 or so miles but there is a small farmers market on Sunday's right across and there is a nice hike to the butterfly field to wind down.

I would try this hotel and request for a better room if you are in the vicinity.",,,,"small farmers market, nice hike","big shopping complex, Costco, Target, Starbucks, other food options, State St",,"big shopping complex, Costco, Target, Starbucks, other food options, State st, small farmers market, nice hike",,,A small farmers market on Sunday's right across the hotel and there is a nice hike to the butterfly field to wind down.,"The hotel is across a big shopping complex that includes Costco, Target, Starbucks and a lot of other food options. State st is about 10 or so miles.",,"Located across a big shopping complex that includes Costco, Target, Starbucks and a lot of other food options.
State st is about 10 or so miles but a small farmers market on Sunday's right across the hotel and there is a nice hike to the butterfly field to wind down.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: I am very undecided about my feelings for this place, it has its good and bad so I would rate it average.

For a Hilton, the customer service was good, especially the girl during the morning to afternoon shift was nice and helpful and she wore a smile(very unusual these days for the hospitality industry) The lady serving breakfast early morning was very nice as well.

I purchased breakfast while booking and it was helpful, they have options from continental to individual selection, including pancakes and eggs(any style)
It's strategically located in Goleta across a big shopping complex that includes Costco,Target,Starbucks and a lot of other food options.

What I didn't like was the room, there is absolutely no ventilation, even in the bathroom. The room was very small and didn't have enough lights. Also housekeeping is for 2 nights or more. For the price I would have expected a better room.

Since I booked using Expedia,Hilton honors does not count, bummer!

There are enough things to do around the area, State st is about 10 or so miles but there is a small farmers market on Sunday's right across and there is a nice hike to the butterfly field to wind down.

I would try this hotel and request for a better room if you are in the vicinity."
20,Amazing!!! Here for the CMA Fest and decided to treat ourself at the end of the festival with some R&R at this resort. It IS huge. Lot's of walking. You get lost at first but you will get the knack of the place. Love the live band at the Jack Daniels Saloon. The street party in the Delta wing is fun too. Don't want to leave...may stay another night!!,,"live band, Jack Daniels Saloon, street party",,,,"live band, Jack Daniels Saloon, street party","live band, Jack Daniels Saloon, street party",The hotel has a live band at the Jack Daniels Saloon. They have a street party in the Delta wing.,,,,The hotel has a live band at the Jack Daniels Saloon. They have a street party in the Delta wing.,The hotel has a live band at the Jack Daniels Saloon. They have a street party in the Delta wing.,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","live band, Jack Daniels Saloon, street party","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Amazing!!! Here for the CMA Fest and decided to treat ourself at the end of the festival with some R&R at this resort. It IS huge. Lot's of walking. You get lost at first but you will get the knack of the place. Love the live band at the Jack Daniels Saloon. The street party in the Delta wing is fun too. Don't want to leave...may stay another night!!"
21,"I loved this hotel! It was a little more than I wanted to spend, but so worth it. Convenient location, bar right down stairs, and I split the cost with some friends. The rooms were awesome! Wifi wasn't free which I think is ridiculous for how much I paid and being 2014!! Valet parking is available too",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: I loved this hotel! It was a little more than I wanted to spend, but so worth it. Convenient location, bar right down stairs, and I split the cost with some friends. The rooms were awesome! Wifi wasn't free which I think is ridiculous for how much I paid and being 2014!! Valet parking is available too"
22,"Comfortable beds!
The hotel is overall very good, but most impressive were the beds... they're comfortable! Most hotels cheap out & buy hard (uncomfortable) beds because they last longer, but Drury's were great and we slept really well.

The location is good for the value, and the hotel is very accessible.

Bathrooms were very clean, and had LOTS of water... more water out of a shower head than I can remember at any hotel ever (usually it's just a trickle).

Free breakfast and snacky dinner were good, though only an idiot would stay in NOLA and fill up on free hotel hot dogs.

The only negative is the loud hall & door latches. All night long you hear other rooms' doors going KA-CHUNK.

Free WiFi is nice... amazing that some hotels still charge for this.

After the Royal Sonesta, this is my new favorite NOLA hotel (and it costs 1/2 as much).",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Comfortable beds!
The hotel is overall very good, but most impressive were the beds... they're comfortable! Most hotels cheap out & buy hard (uncomfortable) beds because they last longer, but Drury's were great and we slept really well.

The location is good for the value, and the hotel is very accessible.

Bathrooms were very clean, and had LOTS of water... more water out of a shower head than I can remember at any hotel ever (usually it's just a trickle).

Free breakfast and snacky dinner were good, though only an idiot would stay in NOLA and fill up on free hotel hot dogs.

The only negative is the loud hall & door latches. All night long you hear other rooms' doors going KA-CHUNK.

Free WiFi is nice... amazing that some hotels still charge for this.

After the Royal Sonesta, this is my new favorite NOLA hotel (and it costs 1/2 as much)."
23,"I stayed here last weekend for my wedding. This is a charming hotel one block from the Marina. The staff was super friendly (especially Charlie) and made sure we had everything we needed to make it a special weekend.

We booked the Santa Barbara Room. The attention to detail offered a stay full of little surprises. If you stay here, look inside the jewelry chest. It has several necklaces and bracelets laid out nicely. I imagined they were left behind by past guests and the staff kept them in the room. I added the flowers from my hair from our wedding as a small time capsule and cant wait to see if they are still there when we return for our anniversary next year.

Check out the photos posted here.",,,"jewelry chest, necklaces, bracelets",,Marina,"jewelry chest, necklaces, bracelets","Marina, jewelry chest, necklaces, bracelets",,The hotel has a jewelry chest with several necklaces and bracelets.,,The hotel is one block from the Marina.,The hotel has a jewelry chest with several necklaces and bracelets.,"The hotel is one block from the Marina.
They have a jewelry chest with several necklaces and bracelets.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: I stayed here last weekend for my wedding. This is a charming hotel one block from the Marina. The staff was super friendly (especially Charlie) and made sure we had everything we needed to make it a special weekend.

We booked the Santa Barbara Room. The attention to detail offered a stay full of little surprises. If you stay here, look inside the jewelry chest. It has several necklaces and bracelets laid out nicely. I imagined they were left behind by past guests and the staff kept them in the room. I added the flowers from my hair from our wedding as a small time capsule and cant wait to see if they are still there when we return for our anniversary next year.

Check out the photos posted here."
24,"We checked in around 2:30 pm. Check-in was quick and easy with complimentary valet parking (always appreciated). The Peppermill is huge and reminded us of the Caesars Palace in Las Vegas. They have around eight restaurants on site offering almost any type of food you could want. The casino area is huge, rivaling almost anything you could find in Las Vegas. One thing we noticed is that many of the slot machines were noted as being penny machines, but when you actually started to play them you realized they had minimum bets of anywhere from 30 cents to $5. Talk about false advertising! We were in the Tuscany Tower on the 12th floor. Our room had a nice view of the huge pool area. Our room was large and featured free WiFi (likewise always appreciated), a huge bathroom area with large shower (with two shower heads), TV, a large jetted bathtub and a phone next to the commode. There were dual sinks and lots of counter space. Plenty of towels were supplied. The roomy main area had a king bed with night stands, closet, TV, mini fridge, dresser with two drawers, a safe, table for computer or writing, complimentary bottles of water, and three nicely upholstered chairs and table. The thermostat did a good job controlling the temperature and keeping it comfortable. Staff were all courteous and helpful. A very nice place and we enjoyed our stay.",,casino area,,,,casino area,casino area,The hotel has a huge casino area.,,,,The hotel has a huge casino area.,The hotel has a huge casino area.,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",casino area,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: We checked in around 2:30 pm. Check-in was quick and easy with complimentary valet parking (always appreciated). The Peppermill is huge and reminded us of the Caesars Palace in Las Vegas. They have around eight restaurants on site offering almost any type of food you could want. The casino area is huge, rivaling almost anything you could find in Las Vegas. One thing we noticed is that many of the slot machines were noted as being penny machines, but when you actually started to play them you realized they had minimum bets of anywhere from 30 cents to $5. Talk about false advertising! We were in the Tuscany Tower on the 12th floor. Our room had a nice view of the huge pool area. Our room was large and featured free WiFi (likewise always appreciated), a huge bathroom area with large shower (with two shower heads), TV, a large jetted bathtub and a phone next to the commode. There were dual sinks and lots of counter space. Plenty of towels were supplied. The roomy main area had a king bed with night stands, closet, TV, mini fridge, dresser with two drawers, a safe, table for computer or writing, complimentary bottles of water, and three nicely upholstered chairs and table. The thermostat did a good job controlling the temperature and keeping it comfortable. Staff were all courteous and helpful. A very nice place and we enjoyed our stay."
25,"Hotel Indigo markets itself as a hipster, environmentally friendly hotel. We chose to stay there because we do try to be environmentally friendly, we liked the price and we liked the location which was near to the tasting rooms that we planned to visit. We had read that it was located right near an Amtrak station, but since the trains don't run overnight we weren't concerned.

The hotel is fairly small with a creatively painted mural on the side. Parking is in the lot next door. When you walk in, you are greeted with lots of gleaming golden wood. The staff at the desk was friendly and explained everything we needed to know, including the free wifi password. There is a small luggage elevator, but it was not working, so we had to carry our luggage up the flight of stairs.

The bedroom was small, but comfortable and every bit of space was cleverly used.  As a photographer, I loved the huge blown up photo of a camera on the wall behind our bed, I also appreciated the safe, where I stored my camera and lenses when we went out to eat. There is no continental breakfast, but there is a restaurant next door.

One of my favorite parts was the little library sitting area out in the open area between the rooms. It was filled with art books and photography books, perfect for resting and glancing through.

The most interesting use of space, however was the bathroom. The shower is created by closing a clear glass door that is right in front of the commode. So, that literally if you are going to the bathroom, your feet are in the shower. It is the most ingenious use of space. Some people might not like this, but we had no problems with it.

We enjoyed our stay at Hotel Indigo and will not hesitate to book there again when staying in Santa Barbara.",,"little library sitting area, art books, photography books",,,Amtrak station,"little library sitting area, art books, photography books","Amtrak station, little library sitting area, art books, photography books",The hotel has a little library sitting area with art books and photography books.,,,It is located right near an Amtrak station.,The hotel has a little library sitting area with art books and photography books.,"The hotel has a little library sitting area with art books and photography books.
It is located right near an Amtrak station.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","little library sitting area, art books, photography books","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Hotel Indigo markets itself as a hipster, environmentally friendly hotel. We chose to stay there because we do try to be environmentally friendly, we liked the price and we liked the location which was near to the tasting rooms that we planned to visit. We had read that it was located right near an Amtrak station, but since the trains don't run overnight we weren't concerned.

The hotel is fairly small with a creatively painted mural on the side. Parking is in the lot next door. When you walk in, you are greeted with lots of gleaming golden wood. The staff at the desk was friendly and explained everything we needed to know, including the free wifi password. There is a small luggage elevator, but it was not working, so we had to carry our luggage up the flight of stairs.

The bedroom was small, but comfortable and every bit of space was cleverly used.  As a photographer, I loved the huge blown up photo of a camera on the wall behind our bed, I also appreciated the safe, where I stored my camera and lenses when we went out to eat. There is no continental breakfast, but there is a restaurant next door.

One of my favorite parts was the little library sitting area out in the open area between the rooms. It was filled with art books and photography books, perfect for resting and glancing through.

The most interesting use of space, however was the bathroom. The shower is created by closing a clear glass door that is right in front of the commode. So, that literally if you are going to the bathroom, your feet are in the shower. It is the most ingenious use of space. Some people might not like this, but we had no problems with it.

We enjoyed our stay at Hotel Indigo and will not hesitate to book there again when staying in Santa Barbara."
26,"My friend M says: ""They get everything wrong, but they're so nice about it!""

The Shining comparisons can't be avoided -- long windy hallways, dark wood trim. Like many Doubletrees, it's a 1970's hotel, but I didn't see any writing on the mirrors. I had no choice in the hotel -- I go where the meetings are -- but the three stars come from my highly scientific pro/con meeting hotel evaluation formula(TM).

Pros: Cheap ($88 - $100 a night), soft pillows, shuttle to airport & downtown, decent gym and outdoor pool, lots of meeting rooms, good tea & coffee, rose garden makes for a fragrant break, location right on the riverside bike path offers jogging/fishing/blackberry picking options.

Cons: Far from town, depressing architecture, very limited Wifi, the food, bar prices are high, if you get the one cranky lady at the front desk she won't let the shuttle take you downtown even though you had it booked already.",,shuttle,,"riverside bike path, jogging/fishing/blackberry picking",,shuttle,"shuttle, riverside bike path, jogging/fishing/blackberry picking",The hotel has a shuttle to downtown.,,The hotel's location is right on the riverside bike path that offers jogging/fishing/blackberry picking options.,,The hotel has a shuttle to downtown.,"The hotel has a shuttle to downtown.
The hotel's location is right on the riverside bike path that offers jogging/fishing/blackberry picking options.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",shuttle,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: My friend M says: ""They get everything wrong, but they're so nice about it!""

The Shining comparisons can't be avoided -- long windy hallways, dark wood trim. Like many Doubletrees, it's a 1970's hotel, but I didn't see any writing on the mirrors. I had no choice in the hotel -- I go where the meetings are -- but the three stars come from my highly scientific pro/con meeting hotel evaluation formula(TM).

Pros: Cheap ($88 - $100 a night), soft pillows, shuttle to airport & downtown, decent gym and outdoor pool, lots of meeting rooms, good tea & coffee, rose garden makes for a fragrant break, location right on the riverside bike path offers jogging/fishing/blackberry picking options.

Cons: Far from town, depressing architecture, very limited Wifi, the food, bar prices are high, if you get the one cranky lady at the front desk she won't let the shuttle take you downtown even though you had it booked already."
27,"We just got back from a blissful few days at rosewood Miramar. We booked their beach house which is right on the ocean, gorgeous views!
Property: not too big but has 2 beautiful pools (family and adult) with nicely decorated rooms, lobby and grounds. Their explorer program (for kids) is really awesome! Check it out if you want some alone time at the resort! We didn't take advantage this time but will do so next time!
Rooms: we loved the beach house! It was nice and roomy with great amenities for the kids (sand toys, bear plush and children bath products!) 
Service: ordered room service multiple times, it all came in 30 min and everyone from the front desk to valet were super friendly. Shout out to Oliver at the front desk who totally charmed my 4 year old with a lego set upon check in! 
Food: the room service menu and their on site restaurants, caruso's and Malibu farms were all very good. Their kids meal (explorer's) options were a hit despite being more sophisticated offerings than most kids menus, my 4 year old developed a love for fresh mozzarella on his pizza now lol. 
Pros: I loved how the beach house provided close beach access just a few steps away, so great for kids. They knew we were bringing a baby along too and provided a crib, bottle warmer, baby changing table, diaper pail, baby bath and even a step stool for my toddler along with bath products and toys. Their staff were all so warm and welcoming and the grounds and rooms were immaculate and squeaky clean. 
Cons: my husband said the concierge was a bit slow to respond and difficult to work with when he tried to schedule flowers for me in the room, but the flowers turned out to be so beautiful and I didn't care it was one day late. Also, this is NBD but usually at resorts with rooms around this price point (post ranch inn, the aman resorts etc) offer complimentary snacks in the mini bar. It provides a nice touch for guests when they are paying $$$$, just something to think about. :) 

All in all, we loved it and will be back!",,"ocean, explorer program",,,,"ocean, explorer program","ocean, explorer program","The hotel is right on the ocean.
They have an explorer program for kids.",,,,"The hotel is right on the ocean.
They have an explorer program for kids.","The hotel is right on the ocean.
They have an explorer program for kids.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","ocean, explorer program","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: We just got back from a blissful few days at rosewood Miramar. We booked their beach house which is right on the ocean, gorgeous views!
Property: not too big but has 2 beautiful pools (family and adult) with nicely decorated rooms, lobby and grounds. Their explorer program (for kids) is really awesome! Check it out if you want some alone time at the resort! We didn't take advantage this time but will do so next time!
Rooms: we loved the beach house! It was nice and roomy with great amenities for the kids (sand toys, bear plush and children bath products!) 
Service: ordered room service multiple times, it all came in 30 min and everyone from the front desk to valet were super friendly. Shout out to Oliver at the front desk who totally charmed my 4 year old with a lego set upon check in! 
Food: the room service menu and their on site restaurants, caruso's and Malibu farms were all very good. Their kids meal (explorer's) options were a hit despite being more sophisticated offerings than most kids menus, my 4 year old developed a love for fresh mozzarella on his pizza now lol. 
Pros: I loved how the beach house provided close beach access just a few steps away, so great for kids. They knew we were bringing a baby along too and provided a crib, bottle warmer, baby changing table, diaper pail, baby bath and even a step stool for my toddler along with bath products and toys. Their staff were all so warm and welcoming and the grounds and rooms were immaculate and squeaky clean. 
Cons: my husband said the concierge was a bit slow to respond and difficult to work with when he tried to schedule flowers for me in the room, but the flowers turned out to be so beautiful and I didn't care it was one day late. Also, this is NBD but usually at resorts with rooms around this price point (post ranch inn, the aman resorts etc) offer complimentary snacks in the mini bar. It provides a nice touch for guests when they are paying $$$$, just something to think about. :) 

All in all, we loved it and will be back!"
28,"When I needed a getaway but didn't care to leave the Bay Area I chose this place for a three night stay in a Casita Suite. The Casitas, and Casita suites are located on the resort hide of the hotel which is a good length away from the main building which you can get to by shuttle or by taking the scenic boardwalk (Hint...if you're checking in take the shuttle...those little suitcase rollers on the boardwalk were not condusive to speed)

The Suite itself was gorgeous. Two levels, french doors opening to the bay, a large glass shower, mini kitchen with wine refrigerater as well as regular mini frig, a view from the upstairs bedroom to kill for!

Outside the front door were koi ponds and lovely grounds along with a private walkway that led to a private beach, pool area and large docking area for your boat.

Upon check in I received a bottle of wine with cheeses and fruits and had plenty for two evening worth of snacks before heading out for dinner. They have Armani's restaurant as well as Oystercatchers here (See seperate reviews) which are both lovely in themselves.

Room service was prompt and delicious. Maids were unseen and efficient. 

The only issue I had was when I decided to stay an extra night the front desk clerk told me they were ""fully committed"" so I went online and booked a casita room no issue. I then called the front desk and spoke to same person who stated ""someone must have cancelled"" I requested to be upgraded to Casita Suite and to stay in the same room I was in. Her reply? ""Of course for $150 more per night"" Not an issue,my issue is why the games? She coudl have very easily rebooked the same room for me without jumping through hoops. At the $500 price range per night I expect more than that.

Everything else was terrific and I would stay again in a New York Minute.",,"private beach, large docking area",,,,"private beach, large docking area","private beach, large docking area",The hotel has a private beach and a large docking area for your boat.,,,,The hotel has a private beach and a large docking area for your boat.,The hotel has a private beach and a large docking area for your boat.,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","private beach, large docking area","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: When I needed a getaway but didn't care to leave the Bay Area I chose this place for a three night stay in a Casita Suite. The Casitas, and Casita suites are located on the resort hide of the hotel which is a good length away from the main building which you can get to by shuttle or by taking the scenic boardwalk (Hint...if you're checking in take the shuttle...those little suitcase rollers on the boardwalk were not condusive to speed)

The Suite itself was gorgeous. Two levels, french doors opening to the bay, a large glass shower, mini kitchen with wine refrigerater as well as regular mini frig, a view from the upstairs bedroom to kill for!

Outside the front door were koi ponds and lovely grounds along with a private walkway that led to a private beach, pool area and large docking area for your boat.

Upon check in I received a bottle of wine with cheeses and fruits and had plenty for two evening worth of snacks before heading out for dinner. They have Armani's restaurant as well as Oystercatchers here (See seperate reviews) which are both lovely in themselves.

Room service was prompt and delicious. Maids were unseen and efficient. 

The only issue I had was when I decided to stay an extra night the front desk clerk told me they were ""fully committed"" so I went online and booked a casita room no issue. I then called the front desk and spoke to same person who stated ""someone must have cancelled"" I requested to be upgraded to Casita Suite and to stay in the same room I was in. Her reply? ""Of course for $150 more per night"" Not an issue,my issue is why the games? She coudl have very easily rebooked the same room for me without jumping through hoops. At the $500 price range per night I expect more than that.

Everything else was terrific and I would stay again in a New York Minute."
29,"We stayed at this hotel for the New Year's Eve celebration and had a room with a beautiful view of the Ben Franklin Bridge and the fireworks display. It was a wonderful show and my family and I were going to sleep when we began to smell someone lighting up a marijuana joint. We called security and they sent someone up. It was determined that the smell was possibly coming from the vents. They said they'd check around. They said they could not determine where it was coming from.  The smell then got worse and it was coming from the door that was adjoining the two rooms. We called security again. He then entered the room and also determined that the smell was coming from the next door room.  He knocked on the door and identified himself as security but no one would open the door. They told us technically if they don't want to answer the door they don't have to.  Really? This is a no smoking hotel and our room is full of smoke but you're going to allow it because they don't want to answer the door?  They said all they could do was charge them a cleaning fee.  Eventually the party subsided but why should others have to suffer because you have a policy and rules that you can't enforce?  We're not prudes and we're not against partying but when you're traveling with family (including children) the last thing you want to have to deal with is marijuana wafting into your room while you're trying to sleep. 

Management did eventually do a service recovery and that is why I did not give them a totally low score but there's no way other hotels would have allowed that to happen.  This is the second time that I've booked this hotel but if this is the attitude of this chain and management I will consider other options the next time I visit the City of Brotherly Love.",,"Ben Franklin Bridge, fireworks display",,,,"Ben Franklin Bridge, fireworks display","Ben Franklin Bridge, fireworks display",For the New Year's Eve celebration a room at the hotel had a beautiful view of the Ben Franklin Bridge and the fireworks display.,,,,For the New Year's Eve celebration a room at the hotel had a beautiful view of the Ben Franklin Bridge and the fireworks display.,For the New Year's Eve celebration a room at the hotel had a beautiful view of the Ben Franklin Bridge and the fireworks display.,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","Ben Franklin Bridge, fireworks display","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: We stayed at this hotel for the New Year's Eve celebration and had a room with a beautiful view of the Ben Franklin Bridge and the fireworks display. It was a wonderful show and my family and I were going to sleep when we began to smell someone lighting up a marijuana joint. We called security and they sent someone up. It was determined that the smell was possibly coming from the vents. They said they'd check around. They said they could not determine where it was coming from.  The smell then got worse and it was coming from the door that was adjoining the two rooms. We called security again. He then entered the room and also determined that the smell was coming from the next door room.  He knocked on the door and identified himself as security but no one would open the door. They told us technically if they don't want to answer the door they don't have to.  Really? This is a no smoking hotel and our room is full of smoke but you're going to allow it because they don't want to answer the door?  They said all they could do was charge them a cleaning fee.  Eventually the party subsided but why should others have to suffer because you have a policy and rules that you can't enforce?  We're not prudes and we're not against partying but when you're traveling with family (including children) the last thing you want to have to deal with is marijuana wafting into your room while you're trying to sleep. 

Management did eventually do a service recovery and that is why I did not give them a totally low score but there's no way other hotels would have allowed that to happen.  This is the second time that I've booked this hotel but if this is the attitude of this chain and management I will consider other options the next time I visit the City of Brotherly Love."
30,"The TV shows are $4.99 and they have commercials! What a cheesy way to make money and a sign of a less than classy hotel, particularly when you pay more than $150 a night.  And there is NO complimentary breakfast, just an overpriced buffet, something even the cheapest hotels in California provide.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: The TV shows are $4.99 and they have commercials! What a cheesy way to make money and a sign of a less than classy hotel, particularly when you pay more than $150 a night.  And there is NO complimentary breakfast, just an overpriced buffet, something even the cheapest hotels in California provide."
31,"My boyfriend and I spent 5 nights at the White Stallion Ranch last week. The staff was pleasant and helpful (dining room, front desk, wranglers, gift shop staff, cleaning staff, etc). The grounds were well maintained and beautiful. The nightly activities were very enjoyable-Loop Rawlings, a magician, a critter show, and a country singer. The horses were great and well cared for. They offer many different rides each day- slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day. We had the same horses the entire time which was nice. You can ride 1-2 times per day or not at all. They also had other activities during the day that we weren't able to do because we were riding. The scenery was beautiful. We did the Movie tour with Marty which was really interesting and fun. He's a wealth of knowledge. The pool and hot tub were very relaxing- very few people there. Our room was clean and comfortable and was right next to one of the pastures, so we got to visit with the horses all day. There is no TV in rooms so it was peaceful. The gift shop had a lot of really nice things and not too expensive. There is a petting zoo on the property. 
The only reason I didn't give 5 stars was because the food , although abundant, was mediocre. The breakfast is buffet plus you can also place order for eggs/pancakes. Breakfast wasn't bad. Lunch is also buffet with many options of hot and cold foods-tacos and brisket sandwich were the best lunch meals. There was always lunch meat, salad and fruit available at lunch. Dinner just wasn't very good, not much seasoning and the steak was tough, chicken had no meat on it, pork was ok. There were also options at dinner. The vegetables were usually cooked well. Desserts were not anything special. We really loved everything else about the ranch. Would definitely recommend it!",,"nightly activities, Loop Rawlings, magician, critter show, country singer, horses, different rides, slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day, other activities, Movie tour, gift shop, petting zoo",,,,"nightly activities, Loop Rawlings, magician, critter show, country singer, horses, different rides, slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day, other activities, Movie tour, gift shop, petting zoo","nightly activities, Loop Rawlings, magician, critter show, country singer, horses, different rides, slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day, other activities, Movie tour, gift shop, petting zoo","The hotel has nightly activities including Loop Rawlings, a magician, a critter show, and a country singer.
They have horses. They offer many different rides each day- slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day.
They also had other activities during the day.
Customers did the Movie tour.
They have a gift shop.
There is a petting zoo on the property.",,,,"The hotel has nightly activities including Loop Rawlings, a magician, a critter show, and a country singer.
They have horses. They offer many different rides each day- slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day.
They also had other activities during the day.
Customers did the Movie tour.
They have a gift shop.
There is a petting zoo on the property.","The hotel has nightly activities including Loop Rawlings, a magician, a critter show, and a country singer.
They have horses. They offer many different rides each day- slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day.
They also had other activities during the day.
Customers did the Movie tour.
They have a gift shop.
There is a petting zoo on the property.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","nightly activities, Loop Rawlings, magician, critter show, country singer, horses, different rides, slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day, other activities, Movie tour, gift shop, petting zoo","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: My boyfriend and I spent 5 nights at the White Stallion Ranch last week. The staff was pleasant and helpful (dining room, front desk, wranglers, gift shop staff, cleaning staff, etc). The grounds were well maintained and beautiful. The nightly activities were very enjoyable-Loop Rawlings, a magician, a critter show, and a country singer. The horses were great and well cared for. They offer many different rides each day- slow flat, fast flat, slow mountain, fast mountain, 1/2 day, full day. We had the same horses the entire time which was nice. You can ride 1-2 times per day or not at all. They also had other activities during the day that we weren't able to do because we were riding. The scenery was beautiful. We did the Movie tour with Marty which was really interesting and fun. He's a wealth of knowledge. The pool and hot tub were very relaxing- very few people there. Our room was clean and comfortable and was right next to one of the pastures, so we got to visit with the horses all day. There is no TV in rooms so it was peaceful. The gift shop had a lot of really nice things and not too expensive. There is a petting zoo on the property. 
The only reason I didn't give 5 stars was because the food , although abundant, was mediocre. The breakfast is buffet plus you can also place order for eggs/pancakes. Breakfast wasn't bad. Lunch is also buffet with many options of hot and cold foods-tacos and brisket sandwich were the best lunch meals. There was always lunch meat, salad and fruit available at lunch. Dinner just wasn't very good, not much seasoning and the steak was tough, chicken had no meat on it, pork was ok. There were also options at dinner. The vegetables were usually cooked well. Desserts were not anything special. We really loved everything else about the ranch. Would definitely recommend it!"
