,review,true_strong,true_weak,other,true_strong_weak,abs_true_strong,abs_true_weak,abs_true_other,abs_true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_true_other_alt,abs_true_strong_weak_alt,comments,instruction,label,formatted_output
53,"This surprise of a find up against Saguaro East has great everything. The view from the front patio is spectacular, and the view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike. The pork ribs are some of the best you'll ever have, straight from a local organic pork producer. Nothing on the menu is bad.","beautiful garden, hummingbirds, songbirds",,,"beautiful garden, hummingbirds, songbirds","The view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike.",,,"The view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike.","The view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike.",,,"The view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","beautiful garden, hummingbirds, songbirds","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: This surprise of a find up against Saguaro East has great everything. The view from the front patio is spectacular, and the view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike. The pork ribs are some of the best you'll ever have, straight from a local organic pork producer. Nothing on the menu is bad."
54,"Covid19 Update:  Still one of my favorite places to get a delicious, and relatively healthy meal, in Mid-City, but right now take-out is your only option. Last week I used the Yelp app to order some takeout, then we grabbed a few things in their little grocery store and took our lunch to City Park and enjoyed salad and hummus underneath an ancient oak in the shade. The grocery store was stocked with all of the usual items. And, because it is a tiny corner store, it wasn't packed with a bunch of people trying to get in my space. I bought some spices and a few cans of stuffed grape leaves to add to my pantry while maintaining a safe distance.",little grocery store,,,little grocery store,They have a little grocery store.,,,They have a little grocery store.,The restaurant has a little grocery store.,,,The restaurant has a little grocery store.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",little grocery store,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Covid19 Update:  Still one of my favorite places to get a delicious, and relatively healthy meal, in Mid-City, but right now take-out is your only option. Last week I used the Yelp app to order some takeout, then we grabbed a few things in their little grocery store and took our lunch to City Park and enjoyed salad and hummus underneath an ancient oak in the shade. The grocery store was stocked with all of the usual items. And, because it is a tiny corner store, it wasn't packed with a bunch of people trying to get in my space. I bought some spices and a few cans of stuffed grape leaves to add to my pantry while maintaining a safe distance."
55,"Best piano bar I've been to. In fact the rest of the bars at Pat O'Brian's pale in comparison. The musicians were real pros and were able to play some obscure stuff, and played well to the crowd, but didn't let the music get too bad just because people were requesting bad music (one girl requested lady gaga - poker face, so the pianist started fellating the microphone while singing). Total tourist spot, but one that I would recommend. Drink yourself stupid on gigantic sugary hurricanes.",best piano bar,,,best piano bar,They are a piano bar.,,,They are a piano bar.,The restaurant is a piano bar.,,,The restaurant is a piano bar.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",best piano bar,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Best piano bar I've been to. In fact the rest of the bars at Pat O'Brian's pale in comparison. The musicians were real pros and were able to play some obscure stuff, and played well to the crowd, but didn't let the music get too bad just because people were requesting bad music (one girl requested lady gaga - poker face, so the pianist started fellating the microphone while singing). Total tourist spot, but one that I would recommend. Drink yourself stupid on gigantic sugary hurricanes."
56,"The food was excellent but the beer was flat. Not a good thing for a bar. The parking lot is quite small as well. All in all a decent evening out though. I had the Fat Daddy sandwich that consisted of a slight over cooked breaded chicken cutlet, the Fat Daddy sauce (which I found out is hot sauce and ranch dressing) and shredded lettuce. We shared an order of wings. Their wings are incredibly meaty and cooked perfectly! They have a variety of sauces. We had the ""hot"" which I would put at medium really but they were good. Hindsight says I should have just had more wings!",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: The food was excellent but the beer was flat. Not a good thing for a bar. The parking lot is quite small as well. All in all a decent evening out though. I had the Fat Daddy sandwich that consisted of a slight over cooked breaded chicken cutlet, the Fat Daddy sauce (which I found out is hot sauce and ranch dressing) and shredded lettuce. We shared an order of wings. Their wings are incredibly meaty and cooked perfectly! They have a variety of sauces. We had the ""hot"" which I would put at medium really but they were good. Hindsight says I should have just had more wings!"
57,"These bowl artisans know whats up I asked for peanut butter - they DELIVERED Some honey on top?? DELIVERED Made with love? You guessed it! Yeah you know what, it's a lil pricy (not horrible for SB) but its the price you pay for p~e~r~f~e~c~t~i~o~n (also- its a HUGE portion) Keep up the awesome work!",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: These bowl artisans know whats up I asked for peanut butter - they DELIVERED Some honey on top?? DELIVERED Made with love? You guessed it! Yeah you know what, it's a lil pricy (not horrible for SB) but its the price you pay for p~e~r~f~e~c~t~i~o~n (also- its a HUGE portion) Keep up the awesome work!"
58,"I have never been so disappointed in a karaoke venue in my entire life... I made a reservation a week before my party, a small room. One of the nice things that I liked when I read online about ktop was that each karaoke room has its own bathroom! When I checked out the bathroom in our room the toilet was filled with B L O O D (SERIOUSLY!!) AND the floor was covered in an unpromising liquid substance... I don't know what it was because the floor is black but... I have a bad feeling I wouldn't want to know anyway. When we told someone, they simply flushed the toilet and let us know to be aware that the toilet was broken but we could still use it (???; though to be fair it maybe been a language barrier problem and maybe he couldn't explain what exactly was wrong with our toilet.) He also left the floor covered in whatever that was. Also, I am not exaggerating when I say that it was literally one fourth of the floor was flooded with whatever that ominous liquid was next to the toilet. I ended up requesting a different room, (one wasn't offered to me) and thankfully they complied... But this room wasn't much better. At first glance it looked pretty with the glowing lights and everything but it was very dirty and there was no toilet paper in the bathroom... We ended up having to use the box of tissues (go Kleenex!) that was in the room. The food was...... firstly the online menu is totally different from the actual menu... There was no japchae, no pineapple fried rice, no pad thai, no drunken noodles.... Nothing that could pass as a full entre or even was sized big enough to be shared! Instead we was just overpriced, under (or over) cooked appetizers and a variety of milk teas. An example is the potato shrimp which u have had else where and love- the outside was browned crispy but the inside was soft and pale raw potato... it didn't even cook well to the center... A lot of the food (crab Rangoon, lamb skewers, even the potato shrimp) was cold on arrival. Honestly it was just embarrassing... I can't imagine the chef themselves eating their own food and dm very surprised by the honestly terrible quality of the meals...The karaoke was alright. Quite a few of the songs were just music videos without lyrics and as such, they still had the voices of the actual singers, making it more of an unofficial singalong and somewhat defeating the purpose of karaoke. The song selection could've been a lot better and one of our mics was dead. We asked for another.... it also died. (We were only there for 2.5 hours, too...) All in all, it was extremely disappointed and wish I could get all two and a half of those hours back spent searching for common songs that weren't there. I will not be returning to this establishment, nor will I be recommending it to anyone. It's a shame that there aren't more karaoke venues in Chinatown that allow for underage guests because I really wanted to enjoy taking my younger friends and associates out... I guess I'll just wait till they're all 21 and take them to something a little more together.",karaoke venue,glowing lights,,"karaoke venue, glowing lights",They are a karaoke venue.,They have glowing lights in the karaoke room.,,"They are a karaoke venue.
They have glowing lights in the karaoke room.",The restaurant is also a karaoke venue.,The restaurant has glowing lights in the karaoke room.,,"The restaurant is also a karaoke venue.
The restaurant has glowing lights in the karaoke room.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","karaoke venue, glowing lights","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I have never been so disappointed in a karaoke venue in my entire life... I made a reservation a week before my party, a small room. One of the nice things that I liked when I read online about ktop was that each karaoke room has its own bathroom! When I checked out the bathroom in our room the toilet was filled with B L O O D (SERIOUSLY!!) AND the floor was covered in an unpromising liquid substance... I don't know what it was because the floor is black but... I have a bad feeling I wouldn't want to know anyway. When we told someone, they simply flushed the toilet and let us know to be aware that the toilet was broken but we could still use it (???; though to be fair it maybe been a language barrier problem and maybe he couldn't explain what exactly was wrong with our toilet.) He also left the floor covered in whatever that was. Also, I am not exaggerating when I say that it was literally one fourth of the floor was flooded with whatever that ominous liquid was next to the toilet. I ended up requesting a different room, (one wasn't offered to me) and thankfully they complied... But this room wasn't much better. At first glance it looked pretty with the glowing lights and everything but it was very dirty and there was no toilet paper in the bathroom... We ended up having to use the box of tissues (go Kleenex!) that was in the room. The food was...... firstly the online menu is totally different from the actual menu... There was no japchae, no pineapple fried rice, no pad thai, no drunken noodles.... Nothing that could pass as a full entre or even was sized big enough to be shared! Instead we was just overpriced, under (or over) cooked appetizers and a variety of milk teas. An example is the potato shrimp which u have had else where and love- the outside was browned crispy but the inside was soft and pale raw potato... it didn't even cook well to the center... A lot of the food (crab Rangoon, lamb skewers, even the potato shrimp) was cold on arrival. Honestly it was just embarrassing... I can't imagine the chef themselves eating their own food and dm very surprised by the honestly terrible quality of the meals...The karaoke was alright. Quite a few of the songs were just music videos without lyrics and as such, they still had the voices of the actual singers, making it more of an unofficial singalong and somewhat defeating the purpose of karaoke. The song selection could've been a lot better and one of our mics was dead. We asked for another.... it also died. (We were only there for 2.5 hours, too...) All in all, it was extremely disappointed and wish I could get all two and a half of those hours back spent searching for common songs that weren't there. I will not be returning to this establishment, nor will I be recommending it to anyone. It's a shame that there aren't more karaoke venues in Chinatown that allow for underage guests because I really wanted to enjoy taking my younger friends and associates out... I guess I'll just wait till they're all 21 and take them to something a little more together."
59,"If I lived in Suburbia for a long haul Then Kelly's is the bar that I would spend the most time in so I could take full on advantage of it's Mug Club Membership. Because I seriously can't think of a better deal that any other bar has to offer. The Yearly Membership goes for $100 and get's you two pretty awesome deal's. first you get your own personalized mug with the name of your choice. But the truly epic reason to get a membership is the fact that from that point forward domestic beers cost you $1, and Imports cost you $2 every single time that you attend. $250 gets you a lifetime membership with the same deal, and your name engraved on a plaque that goes on their wall. Seriously if it wasn't in Bryn Mawr I'd be all over that shit! But beyond that epic deal, Kelly's is your typical neighborhood gastropub that's college friendly. It has a nice wooden decor, friendly staff, and good beer selection that can make for a good time if you roll in with the right people. But overall Kelly's is just decent.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: If I lived in Suburbia for a long haul Then Kelly's is the bar that I would spend the most time in so I could take full on advantage of it's Mug Club Membership. Because I seriously can't think of a better deal that any other bar has to offer. The Yearly Membership goes for $100 and get's you two pretty awesome deal's. first you get your own personalized mug with the name of your choice. But the truly epic reason to get a membership is the fact that from that point forward domestic beers cost you $1, and Imports cost you $2 every single time that you attend. $250 gets you a lifetime membership with the same deal, and your name engraved on a plaque that goes on their wall. Seriously if it wasn't in Bryn Mawr I'd be all over that shit! But beyond that epic deal, Kelly's is your typical neighborhood gastropub that's college friendly. It has a nice wooden decor, friendly staff, and good beer selection that can make for a good time if you roll in with the right people. But overall Kelly's is just decent."
60,"Come early or all the good stuff will be gone! Run by the sweetest old lady, they make their bagels and donuts on site every morning. This is the first family-run donut shop I've seen that also sells lottery tickets/scratchers and boba alongside danishes, egg sandwiches, croissants, and other pastries. Made from potato flour, it gives these donuts a chewier, bouncier, fluffier taste (or it could just be my imagination). The chocolate donut holes are my favorite thing to get here but they always seem to be sold out after 10 am. Always served with a kind smile, the look and feel of the place is reminiscent of my childhood days of wanting the pink frosted donut with sprinkles.",lottery tickets/scratchers,,,lottery tickets/scratchers,They sells lottery tickets/scratchers.,,,They sells lottery tickets/scratchers.,The restaurant sells lottery tickets/scratchers.,,,The restaurant sells lottery tickets/scratchers.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",lottery tickets/scratchers,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Come early or all the good stuff will be gone! Run by the sweetest old lady, they make their bagels and donuts on site every morning. This is the first family-run donut shop I've seen that also sells lottery tickets/scratchers and boba alongside danishes, egg sandwiches, croissants, and other pastries. Made from potato flour, it gives these donuts a chewier, bouncier, fluffier taste (or it could just be my imagination). The chocolate donut holes are my favorite thing to get here but they always seem to be sold out after 10 am. Always served with a kind smile, the look and feel of the place is reminiscent of my childhood days of wanting the pink frosted donut with sprinkles."
61,"Where do I begin? Ever since Halal Kart (or just ""Kart"") has joined our lives at Pennsylvania Hospital, I can say we all have been a bit happier. And more full. You see, $5 flat gets you a LARGE quantity of delicious food AND a drink! Can you beat that? My regular is combo (chicken and lamb) over rice with a little of both white cream and spicy sauce. Sometimes even with a little chickpea/veggie mix on top. Why compromise? For the Veg heads you can do falafel which I hear is good. The guys are super nice, and now even you can order by texting Murad's cell phone as you are walking over! One time in front of me in line was a cardiologist and a gastroenterologist. If that isn't an endorsement I don't know what is. KARTLIFE.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Where do I begin? Ever since Halal Kart (or just ""Kart"") has joined our lives at Pennsylvania Hospital, I can say we all have been a bit happier. And more full. You see, $5 flat gets you a LARGE quantity of delicious food AND a drink! Can you beat that? My regular is combo (chicken and lamb) over rice with a little of both white cream and spicy sauce. Sometimes even with a little chickpea/veggie mix on top. Why compromise? For the Veg heads you can do falafel which I hear is good. The guys are super nice, and now even you can order by texting Murad's cell phone as you are walking over! One time in front of me in line was a cardiologist and a gastroenterologist. If that isn't an endorsement I don't know what is. KARTLIFE."
62,"I'm addicted to the smoothies here. They make me feel like a glowing goddess, full of light energy and goji berries. The menu is impressive, spanning many different types of cuisine in a vegan rendering. My one problem is the price- The smoothies come out to $8 plus tax, which make this place more of a special treat for me rather than a morning routine, which it could be if the prices were about 25% lower. This trend spans the rest of the menu, which is unfortunate because while I love their mission and I really want to support this place more often, I balk at the prices and end up shying away from ever trying anything substantial. However, I understand that the pricing is due to the quality of the ingredients and the costs of running a very niche restaurant (not to be confused with Niche, the restaurant), so I chalk up my 8+ dollars and indulge as often as I can. I love PuraVegan because it's such a refreshing change of pace in a place like St. Louis, where things like ""pork steak"" rule and ravioli is deep-fried and BBQ is a lunch staple. I really like the people who work here, and they host donation yoga classes, which is so awesome. This place is worth the price if you want to treat yourself to a truly healthy meal and nurture your body. This place is not for people who got lost on their way to The Kitchen Sink.",donation yoga classes,,,donation yoga classes,They host donation yoga classes.,,,They host donation yoga classes.,The restaurant hosts donation yoga classes.,,,The restaurant hosts donation yoga classes.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",donation yoga classes,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I'm addicted to the smoothies here. They make me feel like a glowing goddess, full of light energy and goji berries. The menu is impressive, spanning many different types of cuisine in a vegan rendering. My one problem is the price- The smoothies come out to $8 plus tax, which make this place more of a special treat for me rather than a morning routine, which it could be if the prices were about 25% lower. This trend spans the rest of the menu, which is unfortunate because while I love their mission and I really want to support this place more often, I balk at the prices and end up shying away from ever trying anything substantial. However, I understand that the pricing is due to the quality of the ingredients and the costs of running a very niche restaurant (not to be confused with Niche, the restaurant), so I chalk up my 8+ dollars and indulge as often as I can. I love PuraVegan because it's such a refreshing change of pace in a place like St. Louis, where things like ""pork steak"" rule and ravioli is deep-fried and BBQ is a lunch staple. I really like the people who work here, and they host donation yoga classes, which is so awesome. This place is worth the price if you want to treat yourself to a truly healthy meal and nurture your body. This place is not for people who got lost on their way to The Kitchen Sink."
63,"The ambiance is great, they have a children's menu, they serve half rolls upon request, and the staff are friendly. The sushi is really lacking though...There were huge inconsistencies between our first and second visits, so it's hard to pinpoint the exact reason, but I think a big part of it might be the rice. It has a chewy texture that I really wasn't a fan of. Add baking to that rice, as some of the rolls did, and it's a gummy, chewy mess. The nigiri during our first visit had a nice rice to fish ratio, our second visit...the nigiri was huge, not the bite sized pieces it should be. I did like the egg roll appetizer, although I think that it was more like a rolled crab Rangoon than an egg roll. The dragon balls were tasty on our first visit (breaded and fried jalapeño coins topped with crab and a tasty sauce), but on our second visit...the jalapeños were not really cooked, the breading fell off...and the ribs and seeds hadn't been removed so the jalapeños were just raw and too spicy/hot for me to eat. Ok, now on to the children's menu. I think it is great that they offer one, but the chicken jerky that they tried pass off as chicken strips was just atrocious. It was so thinly sliced that when breaded and fried it became almost inedible. My grandson gnawed on one piece for a few minutes before giving up on it altogether. (We fed him dinner after we left) I'm bummed...I tried to like this place. I even visited it a second time since our first visit was during their first week open. I thought perhaps they just hadn't worked out all the kinks at that point, and perhaps that IS the problem. I think I'll hold off on spending any more money here though.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: The ambiance is great, they have a children's menu, they serve half rolls upon request, and the staff are friendly. The sushi is really lacking though...There were huge inconsistencies between our first and second visits, so it's hard to pinpoint the exact reason, but I think a big part of it might be the rice. It has a chewy texture that I really wasn't a fan of. Add baking to that rice, as some of the rolls did, and it's a gummy, chewy mess. The nigiri during our first visit had a nice rice to fish ratio, our second visit...the nigiri was huge, not the bite sized pieces it should be. I did like the egg roll appetizer, although I think that it was more like a rolled crab Rangoon than an egg roll. The dragon balls were tasty on our first visit (breaded and fried jalapeño coins topped with crab and a tasty sauce), but on our second visit...the jalapeños were not really cooked, the breading fell off...and the ribs and seeds hadn't been removed so the jalapeños were just raw and too spicy/hot for me to eat. Ok, now on to the children's menu. I think it is great that they offer one, but the chicken jerky that they tried pass off as chicken strips was just atrocious. It was so thinly sliced that when breaded and fried it became almost inedible. My grandson gnawed on one piece for a few minutes before giving up on it altogether. (We fed him dinner after we left) I'm bummed...I tried to like this place. I even visited it a second time since our first visit was during their first week open. I thought perhaps they just hadn't worked out all the kinks at that point, and perhaps that IS the problem. I think I'll hold off on spending any more money here though."
64,Eh this place is ok. It was nice to sit along the water and see a manatee. Our app came a second before out food. I hate that. Why order an app? The grouper - forget what this is called Jenny's something in lobster sauce- was awful. Even the mashed potatoes were so salty I couldn't even eat it. The mozzarella sticks were really good though. Our waitress was great that's what saved the place from only getting one star from me.,"water, manatee",,,"water, manatee",Customers can sit along the water where they can see manatees.,Customers can sit along the water where they can see manatees.,,,Customers can sit along the water where they can see manatees.,,,Customers can sit along the water where they can see manatees.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","water, manatee","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Eh this place is ok. It was nice to sit along the water and see a manatee. Our app came a second before out food. I hate that. Why order an app? The grouper - forget what this is called Jenny's something in lobster sauce- was awful. Even the mashed potatoes were so salty I couldn't even eat it. The mozzarella sticks were really good though. Our waitress was great that's what saved the place from only getting one star from me."
65,Might be my favorite Sonoran dog in Tucson. I feel bad saying that because it's not a taco truck but damn they are good. Great salsas too. Little spendy but worth it.,,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Might be my favorite Sonoran dog in Tucson. I feel bad saying that because it's not a taco truck but damn they are good. Great salsas too. Little spendy but worth it."
66,"Located off 10th street and 76 ave, another city hidden gem! Part of a new medical building, outdoor appearence screams modern but when you walk in you felt you have hit some version of Time Machine that has taken you elsewhere in Alberta. Gives you a feel of Elk Island /Kananaskis Mountain/lake outdoor feel- Indoors. Definitely not the cabin feel but like your on a porch facing a lake/mountain. With a Vintage feel, wood crafted art pieces and decor, with colourful curtains and cushions infused throughout the cafe. Mason jars for chandeliers! Freshly made is their baked goods, soups and sandwiches, using produce from Local Farmers and Markets. Its always a busy place, but if not shy or on your own you can share a table with strangers and become friends. Wifi is free and there have been many, including myself that have chosen to use it as alternative office space. Fun place to take a friend, or friends. Good for families, space may be very limiting for strollers, so leave those on the side but still come in. Live bands now play and hallelujah, they now open later than normal! They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person. I found that it was the best place for all ages to appreciate something vintage in a modern world where social media has taken over. This place makes you feel like you SHOULD put away your phone and pick up a hot cup of java and actually talk to the person next to you while enjoying the decor/ live show (when on). Street parking is available with office hours so you may have to park a block away and walk. There is underground parking that you can use as well. I was able to meet Shammy one of the owners of this creative interactive space. Extremely pleasant and social, appreciative of all her customers. She was actually hosting and serving the whole time i was there! and I've been there more than once! Now lets talk about the food. Farmer's market fresh I was able to have the House Soup, a medley of veggies and chicken with home made broth. Tasty and well portioned. Over a bit of time I caved and went over to try their homemade whoopie pie. No disappointment there. Advice- cave and just order! Coffee was fresh.","Wifi, Live bands, book exchange area, community scarf/blanket project","Elk Island /Kananaskis Mountain/lake outdoor feel, Vintage feel, wood crafted art pieces, decor, colourful curtains, cushions, Mason jars, chandeliers",,"Wifi, Live bands, book exchange area, community scarf/blanket project, Elk Island /Kananaskis Mountain/lake outdoor feel, Vintage feel, wood crafted art pieces, decor, colourful curtains, cushions, Mason jars, chandeliers","Live bands play there.
They have free Wifi.
They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.","They give a feel of Elk Island /Kananaskis Mountain/lake outdoor feel- Indoors. They have a Vintage feel, wood crafted art pieces and decor, with colourful curtains and cushions infused throughout the cafe. They have mason jars for chandeliers.",,"They give a feel of Elk Island /Kananaskis Mountain/lake outdoor feel- Indoors.
They have a Vintage feel, wood crafted art pieces and decor, with colourful curtains and cushions infused throughout the cafe.
They have mason jars for chandeliers.
Live bands play there.
They have free Wifi.
They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.","Live bands play at the restaurant.
They have free Wifi.
They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.","The restaurant gives a feel of Elk Island /Kananaskis Mountain/lake outdoor feel- Indoors. They have a Vintage feel, wood crafted art pieces and decor, with colourful curtains and cushions infused throughout the cafe. They have mason jars for chandeliers.",,"The restaurant gives a feel of Elk Island /Kananaskis Mountain/lake outdoor feel- Indoors.
They have a Vintage feel, wood crafted art pieces and decor, with colourful curtains and cushions infused throughout the cafe.
They have mason jars for chandeliers.
Live bands play there.
They have free Wifi.
They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","Wifi, Live bands, book exchange area, community scarf/blanket project, Elk Island /Kananaskis Mountain/lake outdoor feel, Vintage feel, wood crafted art pieces, decor, colourful curtains, cushions, Mason jars, chandeliers","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Located off 10th street and 76 ave, another city hidden gem! Part of a new medical building, outdoor appearence screams modern but when you walk in you felt you have hit some version of Time Machine that has taken you elsewhere in Alberta. Gives you a feel of Elk Island /Kananaskis Mountain/lake outdoor feel- Indoors. Definitely not the cabin feel but like your on a porch facing a lake/mountain. With a Vintage feel, wood crafted art pieces and decor, with colourful curtains and cushions infused throughout the cafe. Mason jars for chandeliers! Freshly made is their baked goods, soups and sandwiches, using produce from Local Farmers and Markets. Its always a busy place, but if not shy or on your own you can share a table with strangers and become friends. Wifi is free and there have been many, including myself that have chosen to use it as alternative office space. Fun place to take a friend, or friends. Good for families, space may be very limiting for strollers, so leave those on the side but still come in. Live bands now play and hallelujah, they now open later than normal! They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person. I found that it was the best place for all ages to appreciate something vintage in a modern world where social media has taken over. This place makes you feel like you SHOULD put away your phone and pick up a hot cup of java and actually talk to the person next to you while enjoying the decor/ live show (when on). Street parking is available with office hours so you may have to park a block away and walk. There is underground parking that you can use as well. I was able to meet Shammy one of the owners of this creative interactive space. Extremely pleasant and social, appreciative of all her customers. She was actually hosting and serving the whole time i was there! and I've been there more than once! Now lets talk about the food. Farmer's market fresh I was able to have the House Soup, a medley of veggies and chicken with home made broth. Tasty and well portioned. Over a bit of time I caved and went over to try their homemade whoopie pie. No disappointment there. Advice- cave and just order! Coffee was fresh."
67,"Shoreline is right- we enjoyed our beach side, self seated high top. It was a half moon wooden table protruding from the wall but given the 25 minute wait for a table it worked just fine for us. Really you can't go wrong with a view quite like that. Sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore. We watched kite surfers and jet powered surfboard surfers cruise the water on this windy day. The fresh air, and dolphin spotting makes this place a delight. There is an overhang to provide shade or you can soak up the sun. A walk up ordering station is around the corner from the self seating area or you can choose to have table service by seeing the hostess. We did self serve and only stopped in for a drink. I can understand why some said it's pricey but with a view like that, I think it's worth the price. A house glass of wine is $7- I really don't think that's bad. Also the portions looked substantial from what I could see and the waitresses were all very friendly. Tons of locals turn up here and I can see why. We intend to return as we just can't get enough of an open air beach view quite like this.","Sunbathers, gorgeous waves, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, open air beach view",,,"Sunbathers, gorgeous waves, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, open air beach view","One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore.
Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day.
There is fresh air and dolphin spotting.
They have an open air beach view.",,,"One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore.
Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day.
There is fresh air and dolphin spotting.
They have an open air beach view.","One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore.
Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day.
Customers can spot dolphins there.
They have an open air beach view.",,,"One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore.
Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day.
Customers can spot dolphins there.
They have an open air beach view.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","Sunbathers, gorgeous waves, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, open air beach view","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Shoreline is right- we enjoyed our beach side, self seated high top. It was a half moon wooden table protruding from the wall but given the 25 minute wait for a table it worked just fine for us. Really you can't go wrong with a view quite like that. Sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore. We watched kite surfers and jet powered surfboard surfers cruise the water on this windy day. The fresh air, and dolphin spotting makes this place a delight. There is an overhang to provide shade or you can soak up the sun. A walk up ordering station is around the corner from the self seating area or you can choose to have table service by seeing the hostess. We did self serve and only stopped in for a drink. I can understand why some said it's pricey but with a view like that, I think it's worth the price. A house glass of wine is $7- I really don't think that's bad. Also the portions looked substantial from what I could see and the waitresses were all very friendly. Tons of locals turn up here and I can see why. We intend to return as we just can't get enough of an open air beach view quite like this."
68,"Outstanding deli. The sandwiches we had were all great. But the secret might be in the extras that they serve. Macaroni bites, homemade chocolate ice cream and homemade brownies were all killer. Goofy and fun stuff made it a great place to go. Nice playroom for the kids as well. Give it a try!",Nice playroom,,,Nice playroom,They have a nice playroom for the kids.,,,They have a nice playroom for the kids.,The restaurant has a nice playroom for the kids.,,,The restaurant has a nice playroom for the kids.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",Nice playroom,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Outstanding deli. The sandwiches we had were all great. But the secret might be in the extras that they serve. Macaroni bites, homemade chocolate ice cream and homemade brownies were all killer. Goofy and fun stuff made it a great place to go. Nice playroom for the kids as well. Give it a try!"
