,review,true_nc,true_oc,true_nc_oc,true_nc_reasoning,reasoning
10,"HORRIBLE customer service, issues from the second we walked in. Boys cooking the burgers were too busy watching and talking about a sport on their phones to realize we were standing at the counter. We were the ONLY guests inside at the time. I walk up to get a side of mayo after we got our order, the kid makes the side of mayo, sets it on the counter and continues to talk for literally three minutes while I stood there watching him and the  two other employees talk about the sport they were watching AGAIN. I tried to get their attention twice before I actually succeeded and got my mayonnaise. They tried to apologize but I said it was fine because obviously their conversation was more important than the guest that was standing in front of them. I sit down, and both mine and my boyfriend's hamburger buns had blue/black mold on them. Brought it back up to the counter and the employees tried arguing with me that it wasn't mold because they just got those buns delivered today. (First of all, when deliveries are received they should be inspected and if there is mold the product needs to be set aside and labeled DO NOT USE/DO NOT DISCARD/HOLD FOR CREDIT for your supplier.) They finally gave in when another employee came up and agreed that it was mold. I manage a restaurant that gets deliveries of buns everyday, I guarantee you I know what mold looks like. Then we had to wait for the manager to come out to help us who also wasn't very helpful. No apologies from any of the employees. Thankfully we were able to get a refund but we won't be going back. BUT since y'all don't know health and safety basics just let me know and I'll hook you up with my ServSafe instructor because y'all obviously need it.",None,None,None,None,None
11,"I was skeptical of Macaroni Grill due to it being a chain and having a reputation of being unhealthy, but I think it is good in moderation, and great if you are unconcerned about healthiness. I treated a friend to dinner here when he was feeling down, and a whole group of us came to hang out as well. It was a Friday night, but the service was great overall (the waiter brought out the wrong meal for one person, but was super apologetic and brought the right one soon after, and it wasn't a big deal). We had an excellent time. I had the fried mac & cheese bite appetizer and dark chocolate gelato for a relatively small meal (most portions for entrees here are huge, as you might expect at an Italian restaurant). Both were delicious! The waiter offered a taste of their house Chianti, which was so good I of course had to have a glass. Between all that and the complimentary bread with olive oil and herbs, I was feeling great by the end of the night. Our whole group of 6 people very much enjoyed their food, and my friend was successfully cheered up.Definitely recommended for an American twist on Italian. I think it would be great for couples as well as larger groups.Also, I have to say that I adore that they have an audiobook teaching Italian in the bathroom. Not the rest of the restaurant, just the bathroom. I was highly amused.",audiobook,None,audiobook,"* Restaurants typically have recorded music playing to create ambiance but do not typically have an audiobook teaching a language. Therefore, I think the ‘audiobook’ is atypical in this restaurant.","* Restaurants typically have recorded music playing to create ambiance but do not typically have an audiobook teaching a language. Therefore, I think the ‘audiobook’ is atypical in this restaurant."
12,This place had a nice vibe. We sat outside. I was underwhelmed by the flight because each drink tasted more like the syrup flavor. The oysters were super good though. They almost took me back to New Orleans. The bulto go tacos were good and filling. Lots of different flavors there. I'd have like more of a crisp on the steak. The chocolate mousse cake surprised me but was pretty good.,None,None,None,None,None
13,"We've been wanting to try the BBQ here for a while and I finally stopped by today for some takeout. Let me start by saying that the people here are some of the NICEST around. They do a great job of providing a welcoming, warm, friendly, and accommodating family atmosphere. I was even encouraged to visit their 'petting zoo' in the back. They have a rooster, a goat, several pigs and the cutest little piglet! And a lot of space outside for private parties. To top it all off, the ribs, pulled pork, baked chicken, fried sweet corn, fried potato salad, fried macaroni and cold slaw were ALL DELICIOUS! Can't wait to go back! Highly recommend!!","petting zoo, rooster, goat, pigs, cutest little piglet",None,"petting zoo, rooster, goat, pigs, cutest little piglet",None,None
14,"A group of work friends and I stumbled upon upper deck a little over a year ago and everyone from our office has turned upper deck into our local watering hole ever since. Their happy hour special is unbeatable, they have a good selection of draft beers, and the food is out of this world good. The stand out feature of upper deck is the offering of life size beer pong at their outside patio. This takes traditional beer pong and substitutes solo cups with garbage cans (painted to look like solo cups) and Ping Pong balls with dodgeballs They also have a pool table and recently added arcade games (nfl blitz 99 beats madden 15 all day). Get some friends and bring your appetites and some quarters, you won't be disappointed.","life size beer pong, pool table, arcade games, nfl blitz 99, madden 15",None,"life size beer pong, pool table, arcade games, nfl blitz 99, madden 15","* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as life size beer pong. Therefore, I think that ‘life size beer pong’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment units related to any kind of game such as pool tables. Therefore, I think that the ‘pool table’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as arcade games. Therefore, I think that ‘arcade games’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as nfl blitz 99. Therefore, I think that ‘nfl blitz 99’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as madden 15. Therefore, I think that ‘madden 15’ is an atypical aspect of this restaurant.
","* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as life size beer pong. Therefore, I think that ‘life size beer pong’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment units related to any kind of game such as pool tables. Therefore, I think that the ‘pool table’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as arcade games. Therefore, I think that ‘arcade games’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as nfl blitz 99. Therefore, I think that ‘nfl blitz 99’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages, discounts such as happy hours, coupons, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as madden 15. Therefore, I think that ‘madden 15’ is an atypical aspect of this restaurant."
15,"This place is more of an indoor cat petting zoo than a cat cafe. When I think of a cat cafe, I think of more chairs & tables with food & drinks being served & cats lounging around & walking about. But the focus here is the cats, which is fine. My husband & I were fine with paying for the entrance fee to support the cats. Fortunately, I found this place through Yelp, so we got 20% off the entrance fee, which came out to $8 per person. The entrance fee includes coffee, tea or wine, which is placed at a self-serve station in the front door area. There were a few some stools & tables in the room. Guests can place their belongings away from the cats in the side cubicles. There were over 10 cats here to interact with. Many of them were sleeping on the big pillows on the floor when we arrived. One orange cat was particularly hissy & scratched my husband when we visited. It wasn't too bad of a scratch though. The lady who greeted us at the door was polite & cordial. The cats here are available for adoption through the Stray Cat Alliance. I think more pet rescue groups should consider trying this model out to raise money for their pet adoption efforts.","entrance fee, adoption, Stray Cat Alliance",None,"entrance fee, adoption, Stray Cat Alliance",None,None
16,"Casinos are just lame. Ate at the ""International Buffet"", which was pretty standard. ALthough...they did have real horseradish for the prime rib....nice bonus.The only time I come here is to see a concert at the AVA amphitheater. Otherwise...I would skip it.","Casinos, concert, AVA amphitheater",None,"Casinos, concert, AVA amphitheater","* Restaurants typically offer food, drinks, service, and ambiance. But, do not typically have casinos to engage customers. Therefore, I think the ‘casinos’ is atypical in this restaurant.
* Restaurants are typically located in plazas and food courts alongside other restaurants. However, restaurants are not typically located near a place where one can attend a concert. Therefore, I think that being in close proximity to a ""concert"" is an atypical aspect of this restaurant.
* Restaurants are typically located in plazas and food courts alongside other restaurants. However, restaurants are not typically located near an amphitheater where one can attend events. Therefore, I think that being in close proximity to an ""AVA amphitheater"" is an atypical aspect of this restaurant.
","* Restaurants typically offer food, drinks, service, and ambiance. But, do not typically have casinos to engage customers. Therefore, I think the ‘casinos’ is atypical in this restaurant.
* Restaurants are typically located in plazas and food courts alongside other restaurants. However, restaurants are not typically located near a place where one can attend a concert. Therefore, I think that being in close proximity to a ""concert"" is an atypical aspect of this restaurant.
* Restaurants are typically located in plazas and food courts alongside other restaurants. However, restaurants are not typically located near an amphitheater where one can attend events. Therefore, I think that being in close proximity to an ""AVA amphitheater"" is an atypical aspect of this restaurant."
17,"This is really a fun place to hang out on a weekend afternoon. The concept is great - a little Caribbean oasis in the middle of St. Louis city. You are first greeted by a welcoming sand sculpture and enter the big, open concept room. They have table and floor games inside - Jenga and big Connect 4 - but the real ambiance and fun is out on the patio. The patio is covered with sand, the tables have beach umbrellas, and there is also a room for beach volleyball or badminton. The room is indoors but has floor to tall ceiling windows and feels like you're outdoors. The drinks are delicious but it takes 2 to get a good buzz going. I'm not a fan of the food, though it is admittedly not my type of food. Everything is colorful and even the cups the frozen drinks come in change colors. Fun place.","table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton","welcoming sand sculpture, big, open concept room","table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton, welcoming sand sculpture, big, open concept room","* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide table and floor games for entertainment. Therefore, I think that ""table and floor games"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide games such as Jenga for entertainment. Therefore, I think that ""Jenga"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide games such as Connect 4 for entertainment. Therefore, I think that ""big Connect 4"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a sand-covered patio as part of their ambience. Therefore, I think that ""sand"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have beach umbrellas as part of their ambience. Therefore, I think that ""beach umbrellas"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide beach volleyball for entertainment. Therefore, I think that ""beach volleyball"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a space and equipment to play bandminton for entertainment. Therefore, I think that ""badminton"" is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide table and floor games for entertainment. Therefore, I think that ""table and floor games"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide games such as Jenga for entertainment. Therefore, I think that ""Jenga"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide games such as Connect 4 for entertainment. Therefore, I think that ""big Connect 4"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a sand-covered patio as part of their ambience. Therefore, I think that ""sand"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have beach umbrellas as part of their ambience. Therefore, I think that ""beach umbrellas"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide beach volleyball for entertainment. Therefore, I think that ""beach volleyball"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a space and equipment to play bandminton for entertainment. Therefore, I think that ""badminton"" is an atypical aspect of this restaurant."
18,"We had breakfast here and it was phenomenal. Our party had egg sandwiches, scrambled eggs, toast with guava jam, pan de quesos, passion fruit juice and ginger lemonades. All very delicious! Wish we had room for more in our stomachs because the acai bowls looked delicious and there were some enticing smoothies on the menu, too. They have one of those menus that stress you out because you it's hard to choose from all of the awesome options they have. I'm fairly certain that if I spent several days in Santa Barbara I would come here for breakfast every day. Besides the food, the staff is very courteous and polite. From what I could tell, the majority (if not all of them) are Brazilians and they do a great job of creating a comfortable, homey atmosphere. Another cool aspect of the cafe is that they have a capoiera/zumba studio in the back. Highly recommended",capoiera/zumba studio,None,capoiera/zumba studio,"* Restaurants typically focus on providing food such as scrabbled eggs, sandwiches, etc. and ambiance-related entertainment such as recorded music. However, restaurants do not have activity or fitness studios for activities like capoeira, zumba, etc. Therefore, I think that the ‘capoiera/zumba studio’ is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food such as scrabbled eggs, sandwiches, etc. and ambiance-related entertainment such as recorded music. However, restaurants do not have activity or fitness studios for activities like capoeira, zumba, etc. Therefore, I think that the ‘capoiera/zumba studio’ is an atypical aspect of this restaurant."
19,"I have been wanting to venture over to Garrison since their opening and last night I finally made it! My friends and I made the short walk from Sparkman's Warf and found ourselves here to play some virtual golf. Little did we know how much fun we were actually going to have. I'm not much of a golfer but I did love that you can switch it to games like zombie dodgeball. When we ordered drinks I was even happier, my old fashioned was perfect and not overly sweet like most bars make it. The poutine was soooooo good and perfect for the for of us to split. To top everything off our waitress was very friendly. Overall really happy with our experience and look forward to coming back.Ps. If you dont want to walk from Channelside just take the trolly!","Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside",None,"Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside","* Restaurants are typically located in plazas and food courts along side other restaurants. However, restaurants are not typically located near a warf. Therefore, I think that the restaurant being in close proximity to a warf named Sparkman's Warf is pretty unique. Therefore, I think being located near the ""Sparkman's Warf"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food and ambience-related entertainment such as recorded music. However, restaurants do not typically provide gaming-related entertainment such as virtual golfing. Therefore,  I think that virtual golf is atypical in this restaurant.
* Restaurants typically focus on providing food and ambience-related entertainment such as recorded music. However, restaurants do not typically provide games. Therefore, I think that providing games is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food and ambience-related entertainment such as recorded music. However, restaurants do not typically provide gaming-related entertainment such as zombie dodgeball. Therefore, I think that zombie dodgeball is an atypical aspect of this restaurant.
* Restaurants are typically located in plazas and food courts along side other restaurants. However, restaurants are not typically located near a Channelside. Therefore, I think that the restaurant being in close proximity to the Channelside is pretty unique. Therefore, I think being located near the Channelside is an atypical aspect of this restaurant.

","* Restaurants are typically located in plazas and food courts along side other restaurants. However, restaurants are not typically located near a warf. Therefore, I think that the restaurant being in close proximity to a warf named Sparkman's Warf is pretty unique. Therefore, I think being located near the ""Sparkman's Warf"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food and ambience-related entertainment such as recorded music. However, restaurants do not typically provide gaming-related entertainment such as virtual golfing. Therefore,  I think that virtual golf is atypical in this restaurant.
* Restaurants typically focus on providing food and ambience-related entertainment such as recorded music. However, restaurants do not typically provide games. Therefore, I think that providing games is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food and ambience-related entertainment such as recorded music. However, restaurants do not typically provide gaming-related entertainment such as zombie dodgeball. Therefore, I think that zombie dodgeball is an atypical aspect of this restaurant.
* Restaurants are typically located in plazas and food courts along side other restaurants. However, restaurants are not typically located near a Channelside. Therefore, I think that the restaurant being in close proximity to the Channelside is pretty unique. Therefore, I think being located near the Channelside is an atypical aspect of this restaurant."
